"Calu3_mock3" "Calu3_mock2" "Calu3_mock1" "Calu3_SARSCoV2_3" "Calu3_SARSCoV2_2" "Calu3_SARSCoV2_1" "SRR1942929" "SRR1942934" "SRR1942956" "SRR1942957" "SRR1942960" "SRR1942961" "SRR1942989" "SRR1942990"
"ENSG00000005471.17" 3 0 1 1 0 2 6 6 5 11 5 5 12 10
"ENSG00000005483.21" 147 173 579 580 308 597 1645 2181 3134 3193 1570 1349 1573 1715
"ENSG00000005486.17" 283 569 1254 328 180 442 749 669 501 472 615 449 331 401
"ENSG00000005513.10" 9 13 31 9 13 13 31 17 7 11 18 13 4 11
"ENSG00000005700.15" 771 855 2411 2434 1389 2130 4912 6470 3452 3447 4542 3529 3565 3784
"ENSG00000005801.18" 187 288 735 620 320 565 1603 2085 868 930 1512 1147 769 769
"ENSG00000005810.18" 89 127 350 304 179 297 1236 1654 1189 1132 1201 938 884 941
"ENSG00000005812.11" 69 69 254 163 93 146 459 549 263 232 392 354 206 207
"ENSG00000005844.18" 2 1 3 0 2 3 16 21 13 10 25 13 8 9
"ENSG00000005882.12" 238 480 1083 318 136 394 1190 1152 141 179 975 772 129 158
"ENSG00000005884.18" 6720 13363 32355 15332 7306 16855 51568 53563 20375 20307 47341 37407 10195 11399
"ENSG00000005889.15" 123 186 526 485 310 548 1382 1790 1338 1338 1252 935 943 982
"ENSG00000005893.16" 1946 2415 7131 3899 2177 3599 10017 12777 2749 2817 9502 7543 2498 2627
"ENSG00000005961.19" 7 9 25 13 11 17 29 33 8 15 25 34 18 26
"ENSG00000005981.13" 1 1 5 1 0 3 16 13 8 9 10 5 0 3
"ENSG00000006007.12" 1467 2610 5974 2304 1357 2410 4763 5789 1442 1401 4281 3490 1097 1208
"ENSG00000006015.17" 262 675 997 201 127 335 438 385 123 112 368 305 58 57
"ENSG00000006016.11" 2 4 9 1 4 3 51 61 15 21 47 34 9 13
"ENSG00000006025.12" 206 414 762 219 118 235 929 943 621 626 977 746 194 271
"ENSG00000006042.12" 21 36 70 30 14 21 113 156 51 37 126 95 25 23
"ENSG00000006047.13" 4 3 13 14 8 7 26 15 4 5 18 13 1 0
"ENSG00000006059.4" 0 0 0 0 0 1 1 1 0 0 0 0 0 0
"ENSG00000006062.17" 183 370 743 564 247 567 1416 1454 1413 1421 1164 957 1284 1429
"ENSG00000006071.14" 0 3 1 2 2 2 1 6 1 7 1 2 5 6
"ENSG00000006116.3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000006118.14" 976 2295 4752 2090 1212 2620 2376 2029 854 809 2094 1571 729 912
"ENSG00000006125.18" 2655 4340 11140 4351 2335 4389 20175 25675 5268 5251 17875 14829 4695 4886
"ENSG00000006128.12" 5 17 23 11 6 16 3 5 2 3 2 1 4 1
"ENSG00000006194.10" 328 603 1401 871 504 821 1691 2073 809 773 1588 1170 839 791
"ENSG00000006210.7" 182 358 860 3554 1800 4170 220 226 313 345 228 149 201 242
"ENSG00000006282.21" 345 640 1391 659 380 730 2030 2095 941 1027 1896 1485 626 593
"ENSG00000006283.18" 0 0 0 0 1 1 2 4 10 15 2 1 26 33
"ENSG00000006327.13" 4131 9813 18369 8569 4555 10137 13137 13004 4970 4491 11865 8988 9242 10002
"ENSG00000006377.11" 5 12 18 10 7 8 18 38 9 14 29 19 4 10
"ENSG00000006432.15" 155 264 806 477 274 531 1735 1983 1678 1758 1609 1239 1762 1865
"ENSG00000006451.8" 842 1320 2914 2220 1298 2072 3875 4873 1728 1541 3590 2771 1382 1587
"ENSG00000006453.14" 611 1139 2339 1686 989 1812 4177 5029 1989 1964 3944 3098 1375 1426
"ENSG00000006459.11" 24 39 87 244 159 230 377 457 393 379 344 254 208 192
"ENSG00000006468.14" 281 304 1015 337 176 275 1685 2163 699 697 1602 1222 381 426
"ENSG00000006530.18" 191 296 845 353 183 382 1627 2171 515 504 1589 1264 496 476
"ENSG00000006534.16" 436 825 1892 799 523 890 1379 1434 411 382 1268 1036 237 292
"ENSG00000006555.11" 224 366 912 359 215 470 339 379 114 98 293 250 61 62
"ENSG00000006576.16" 232 189 666 324 192 286 2282 3226 836 769 2191 1608 763 759
"ENSG00000006606.8" 0 5 6 0 0 2 0 0 1 0 0 0 3 1
"ENSG00000006607.14" 274 411 1220 517 260 462 1902 2444 851 887 1817 1443 480 540
"ENSG00000006611.16" 298 667 1364 542 317 643 863 1036 211 200 849 714 91 103
"ENSG00000006625.18" 798 1362 2912 991 617 921 3005 3908 582 576 2830 2156 506 523
"ENSG00000006634.8" 169 162 546 200 127 192 1032 1394 536 476 990 775 487 475
"ENSG00000006638.12" 8 20 46 34 22 35 54 89 25 41 63 46 43 42
"ENSG00000006652.14" 339 480 1307 868 486 863 1997 2606 1785 1649 2053 1510 1327 1435
"ENSG00000006659.13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000006695.12" 104 198 503 244 140 242 687 829 317 313 632 450 452 405
"ENSG00000006704.10" 156 316 727 509 270 513 750 830 799 739 724 556 398 451
