SRR1942929	SRR1942934	SRR1942956	SRR1942957	SRR1942960	SRR1942961	SRR1942989	SRR1942990
MER4_12p12.2a	30	38	11	9	27	21	3	12
MER4_12p12.2b	2	9	3	4	1	2	3	0
MER4_12p12.2c	0	2	0	0	2	1	0	1
MER4_12q13.11	4	0	0	1	0	0	0	0
MER4_12q14.3	3	5	1	0	1	2	0	0
MER4_12q15a	0	0	0	0	0	0	0	0
MER4_14q23.3	4	3	1	0	3	4	0	0
MER4_14q32.12b	3	2	1	1	3	1	0	0
MER4_14q32.2	2	0	0	0	0	0	1	1
MER4_14q32.31b	2	0	0	0	0	0	0	0
MER4_14q32.33a	87	125	91	95	79	69	38	41
MER4_15q22.31a	3	10	0	1	1	2	1	3
MER4_15q22.31b	9	9	5	3	10	5	1	3
MER4_16q23.1b	5	3	0	0	3	1	0	0
MER4_16q24.3	43	48	13	9	34	25	8	10
MER4_17p11.2b	6	11	8	7	10	7	2	3
MER4_17q11.2a	2	3	2	2	1	1	1	3
MER4_19p12a	0	0	0	0	1	1	0	0
MER4_1p11.2	0	0	0	0	0	0	0	0
MER4_1p13.2b	0	0	1	1	1	0	16	26
MER4_1p21.3	68	85	18	21	58	42	8	13
MER4_1p31.3	19	18	24	27	10	12	8	15
MER4_1p34.1a	2	2	0	0	2	1	1	1
MER4_1q21.2	3	3	1	5	2	1	1	0
MER4_20p11.21a	2	2	0	1	4	1	0	1
MER4_20p11.23	2	0	0	0	1	1	1	3
MER4_21q22.3a	5	8	2	2	4	5	5	6
MER4_22q12.3	475	710	864	868	478	403	153	156
MER4_22q13.31b	0	0	1	0	0	2	0	0
MER4_2p11.2a	11	26	12	19	12	10	9	4
MER4_2p11.2c	7	15	3	4	10	9	3	0
MER4_2p24.3c	13	14	8	8	18	12	9	17
MER4_2q14.1a	4	11	5	6	8	5	3	5
MER4_2q14.1b	38	42	7	9	31	26	11	14
MER4_2q24.2a	5	8	3	3	4	6	6	2
MER4_2q32.2	2	3	0	2	1	2	2	2
MER4_3p21.2	2	4	1	0	0	2	0	0
MER4_3p21.31b	1	0	0	4	2	3	1	2
MER4_3q27.3	10	11	3	3	4	13	3	2
MER4_3q29a	0	0	0	4	1	0	1	0
MER4_3q29b	33	39	7	9	31	32	6	15
MER4_3q29c	19	18	6	7	22	12	4	6
MER4_3q29e	0	2	1	0	0	1	0	0
MER4_3q29f	314	418	172	196	322	226	87	85
MER4_4p12a	68	57	37	30	40	33	5	4
MER4_4p12b	23	32	12	12	24	14	2	4
MER4_4p12c	6	4	0	4	3	1	2	0
MER4_4p16.3a	22	27	12	11	19	15	9	8
MER4_4q13.3b	45	70	21	27	50	36	26	20
MER4_4q25b	5	10	7	12	10	4	27	30
MER4_5p12a	1	6	4	0	3	1	1	2
MER4_5p12b	34	24	17	14	28	21	8	9
MER4_5p12c	39	53	17	16	36	32	11	12
MER4_5p12d	27	37	12	11	28	15	6	6
MER4_5p14.1c	2	3	3	3	2	2	3	0
MER4_5q13.3a	0	0	0	0	0	0	0	0
MER4_5q14.1	5	5	2	0	2	0	0	4
MER4_5q33.1b	0	3	5	5	1	1	21	32
MER4_6p12.1	51	67	21	9	39	32	6	15
MER4_6p22.3c	14	31	15	14	14	13	41	61
MER4_6q14.2	2	9	7	6	5	2	3	10
MER4_6q14.3a	1	0	0	1	1	1	2	0
MER4_6q22.1a	4	7	1	3	2	5	6	3
MER4_6q22.1b	8	9	3	7	9	10	3	7
MER4_6q26b	2	2	0	3	2	4	12	19
MER4_7p11.2d	7	7	8	4	11	1	11	13
MER4_7p14.3a	208	257	61	78	213	135	18	25
MER4_7p14.3b	38	41	11	16	41	42	4	8
MER4_7p14.3c	2	2	0	2	2	0	0	1
MER4_7q21.12	0	0	0	0	0	0	0	0
MER4_8q24.3b	37	25	8	8	25	25	3	3
MER4_8q24.3d	24	20	5	7	24	8	3	4
MER4_9p13.3a	14	23	6	11	10	22	13	24
MER4_9p13.3b	5	12	4	1	4	3	8	5
MER4_Xp11.21a	8	14	3	8	6	1	1	1
MER4_Xp22.2d	4	5	2	1	1	1	0	0
MER4_Xq22.1e	2	0	1	1	0	0	1	0
MER4_Xq24d	3	9	2	3	2	2	0	3
MER4_Xq25a	1	0	0	0	1	0	2	0
MER41_11p15.4a	0	0	0	0	0	0	0	2
MER41_12p13.2	14	21	14	18	18	12	3	10
MER41_12q12	5	0	1	0	4	0	0	1
MER41_12q13.11	53	65	19	16	42	48	22	21
MER41_12q13.12	20	19	5	5	10	9	2	6
MER41_13q34a	8	2	13	19	6	6	38	49
MER41_14q32.12	20	21	13	11	15	8	11	6
MER41_14q32.13	5	8	2	3	2	4	1	2
MER41_14q32.32	9	9	1	8	7	11	10	11
MER41_15q13.3	0	0	0	0	1	0	0	0
MER41_15q21.2a	1	1	1	1	1	5	1	0
MER41_15q22.31b	10	8	2	7	6	6	3	5
MER41_16p12.3	138	211	31	36	131	84	24	32
MER41_16q22.1	0	0	0	0	0	1	2	0
MER41_19p12b	2	2	2	0	1	1	1	1
MER41_19q13.2a	3	3	1	2	3	3	1	1
MER41_19q13.2c	0	2	1	0	0	1	0	0
MER41_19q13.43a	16	28	7	12	15	13	6	3
MER41_19q13.43b	3	4	0	2	2	3	2	1
MER41_1p34.3	4	1	0	0	1	4	0	0
MER41_1q24.2	13	9	3	4	5	8	2	6
MER41_1q32.3	0	0	0	0	0	0	0	0
MER41_1q41a	88	97	44	40	79	46	20	20
MER41_21q22.3a	0	1	1	0	0	0	0	0
MER41_22q12.3e	67	81	29	25	49	39	8	16
MER41_2p11.2	4	8	7	6	3	4	1	5
MER41_2p24.3	1	2	1	2	2	1	3	6
MER41_2q33.1	3	1	0	2	0	2	0	2
MER41_3p12.1	1	8	1	1	3	2	2	1
MER41_3p22.1b	4	9	2	3	4	3	2	3
MER41_3q27.1	4	5	3	2	0	2	1	2
MER41_4p15.2	56	87	25	29	49	53	18	18
MER41_4p16.1a	0	0	1	0	0	0	0	0
MER41_4p16.1b	33	47	24	23	29	24	15	11
MER41_4q22.1a	4	2	2	1	0	1	0	0
MER41_4q31.1	11	24	5	5	11	12	2	9
MER41_4q32.1c	58	83	21	32	53	63	10	7
MER41_5q35.1	2	7	3	3	6	1	2	2
MER41_6q14.1c	2	2	0	0	2	1	0	0
MER41_6q14.1e	22	37	8	6	21	22	0	0
MER41_6q21a	4	5	1	1	1	3	0	1
MER41_6q22.31b	0	1	0	0	0	0	0	1
MER41_7q22.3a	8	9	1	4	3	6	1	0
MER41_7q33	50	55	11	13	36	40	4	6
MER41_7q35	0	1	0	0	0	0	0	0
MER41_8p11.21	3	0	1	3	1	0	0	2
MER41_8p11.22	20	32	10	20	24	13	9	16
MER41_8q12.1b	1	3	0	0	3	1	0	0
MER41_8q24.3	8	4	51	41	2	4	6	7
MER41_9p21.3	0	0	0	2	0	0	0	2
MER41_9q21.13b	0	3	6	2	0	1	0	1
MER41_9q31.1a	6	9	2	1	4	3	4	2
MER41_Xq11.1b	0	0	0	0	0	0	0	0
MER41_Xq11.1c	1	1	0	0	3	0	13	0
MER4B_10q24.32	0	1	0	0	0	1	0	0
MER4B_11q12.1	12	10	6	8	7	8	8	13
MER4B_12q21.2	72	107	46	49	67	57	106	124
MER4B_12q22	0	1	0	2	0	0	1	0
MER4B_14q32.33d	9	8	9	8	7	12	2	0
MER4B_16p12.3a	4	2	0	1	1	0	0	0
MER4B_19q13.31	0	0	0	0	0	0	0	0
MER4B_1p22.1b	0	0	1	0	1	0	0	3
MER4B_1p22.1c	0	0	0	0	0	0	0	0
MER4B_1p36.33	22	26	9	9	28	11	2	2
MER4B_20q13.12	0	5	2	3	1	0	4	4
MER4B_21q22.11	0	0	0	0	0	0	0	0
MER4B_2p15	1	0	0	0	0	0	0	3
MER4B_3p21.2a	5	7	1	1	3	6	1	1
MER4B_3q13.33	1	4	2	2	2	1	1	1
MER4B_3q21.2	76	105	23	17	81	41	18	22
MER4B_4q13.3c	0	1	0	0	0	1	0	0
MER4B_4q13.3e	7	2	2	4	3	2	2	1
MER4B_4q31.21	1	1	1	1	1	1	0	0
MER4B_5q14.1	5	8	2	3	5	4	3	6
MER4B_7p14.3	6	9	7	10	9	9	15	21
MER4B_7q36.3	1	0	1	0	1	1	0	0
MER4B_9q31.1a	6	18	8	12	8	3	14	12
MER4B_Xp11.4c	2	1	1	0	1	1	0	0
MER4B_Xq21.1d	2	0	0	1	0	2	2	0
MER4B_Xq26.2a	60	79	16	13	75	39	14	12
MER4B_Xq26.2b	28	39	7	5	25	23	3	2
MER61_10q21.3	60	98	27	20	57	59	12	16
MER61_12q14.2	0	2	1	0	1	1	0	0
MER61_12q15a	0	1	1	0	1	1	0	0
MER61_13q14.2	25	45	16	20	21	23	4	9
MER61_14q23.3	0	0	0	1	0	0	0	2
MER61_16q12.1	1	2	5	2	0	0	0	0
MER61_17p13.1	2	4	0	0	2	1	2	9
MER61_17q11.2	1	3	0	2	1	2	5	3
MER61_18q12.3a	85	126	26	28	109	76	17	21
MER61_18q21.2b	15	19	5	2	14	13	3	6
MER61_1p34.1b	7	10	1	1	8	13	0	0
MER61_1q25.1c	0	1	2	0	2	1	0	0
MER61_1q43	57	62	29	29	40	34	10	10
MER61_21q22.11	0	3	1	0	4	0	0	3
MER61_3p12.1	2	7	1	1	3	1	2	7
MER61_3p26.1	1	0	0	2	1	2	0	1
MER61_3q28	36	47	9	13	25	30	31	28
MER61_4p16.3	9	20	7	4	9	4	6	1
MER61_4q31.21a	21	30	8	11	15	14	8	10
MER61_4q31.21b	17	12	17	16	9	6	4	2
MER61_5p14.1	36	31	7	21	24	30	3	4
MER61_6q14.1f	11	18	2	4	12	21	1	0
MER61_6q24.1a	3	5	0	2	3	2	0	1
MER61_6q24.1c	3	11	0	3	6	5	0	1
MER61_7p14.3b	3	3	1	0	2	1	5	4
MER61_7q21.12	7	6	5	6	6	8	3	0
MER61_7q22.3	1	0	0	1	1	0	1	1
MER61_8p11.21	17	23	7	6	15	16	10	3
MER61_8q23.1b	1	4	0	0	0	2	0	0
MER61_Xq25a	10	13	11	13	7	6	0	2
MER61_Xq27.3b	0	0	0	2	0	1	0	0
PABLA_16p13.3a	60	88	29	47	79	56	17	13
PABLA_16p13.3b	139	172	49	75	109	102	41	42
PABLA_19p12a	1	4	2	1	5	4	1	2
PABLA_19p12b	16	23	9	10	18	15	2	7
PABLA_1p13.3	0	0	0	0	1	0	0	0
PABLA_1q24.2	35	54	32	34	42	33	8	12
PABLA_1q25.1	5	13	1	4	3	4	1	2
PABLA_2p25.1	78	136	28	19	85	53	4	7
PABLA_2p25.3	1	0	1	0	0	0	0	0
PABLA_3p22.1	2	1	0	0	0	0	0	0
PABLA_4q22.1	5	1	6	0	4	2	0	2
PABLA_5q33.3	0	2	0	1	0	3	1	0
PABLA_7q32.1	36	39	7	14	22	26	5	5
PABLA_8p21.3a	2	7	10	11	7	3	48	38
PABLA_Xp11.23	3	3	3	0	3	1	0	0
PABLA_Xp22.2	6	5	2	6	9	3	2	3
PABLB_12p11.21	4	4	0	1	3	2	2	2
PABLB_12p13.31	3	0	2	0	1	1	0	0
PABLB_12q13.11	8	9	1	1	2	4	0	0
PABLB_14q11.2a	3	0	0	1	2	0	0	0
PABLB_2p13.1	10	15	1	7	15	15	4	7
PABLB_4p15.2	22	22	31	15	22	18	18	25
PABLB_6q24.1	4	3	0	4	0	2	3	6
PABLB_7q11.21	11	11	1	2	6	8	2	1
PABLB_8q24.3a	26	31	1	9	16	21	3	1
PABLB_Xp21.1b	59	88	26	37	61	41	6	16
PABLB_Xp21.1c	34	55	18	21	53	36	9	7
PRIMA4_10p12.1	113	160	44	41	134	90	23	33
PRIMA4_12p11.21a	104	142	41	47	102	71	48	40
PRIMA4_12p11.21b	15	19	16	17	10	13	6	16
PRIMA4_12p12.3	0	3	1	1	2	2	1	1
PRIMA4_14q23.1	11	11	12	11	5	7	1	5
PRIMA4_18q23a	5	2	2	1	4	5	0	0
PRIMA4_18q23b	12	13	6	5	6	11	2	2
PRIMA4_21q22.3	2	1	0	0	3	1	0	2
PRIMA4_2q24.3	1	0	0	0	1	2	0	2
PRIMA4_4p16.3	7	17	6	10	11	9	5	7
PRIMA4_8p22	20	16	13	19	25	11	14	10
PRIMA41_10p15.3	0	8	5	0	5	2	2	1
PRIMA41_16p12.1b	4	6	4	4	5	4	1	3
PRIMA41_16q24.3	11	6	0	4	7	6	1	0
PRIMA41_17q21.31a	28	47	21	35	30	20	2	7
PRIMA41_17q21.31b	79	114	62	64	67	49	16	25
PRIMA41_18p11.32	0	4	1	0	1	0	1	2
PRIMA41_19p12d	20	20	7	9	28	12	4	7
PRIMA41_19q13.2b	3	14	1	7	8	7	0	1
PRIMA41_19q13.31	3	3	2	0	4	4	2	0
PRIMA41_1q32.3	4	9	2	3	2	5	0	0
PRIMA41_20q11.1c	0	0	0	0	0	0	0	0
PRIMA41_20q11.21	0	0	0	0	0	0	0	0
PRIMA41_22p11.2a	0	0	0	0	0	0	0	0
PRIMA41_22p11.2b	0	0	0	0	0	0	0	0
PRIMA41_22q11.23	15	30	3	5	20	6	2	0
PRIMA41_3p12.3	1	5	0	0	2	0	0	0
PRIMA41_4q35.2	0	2	0	0	0	0	1	2
PRIMA41_8q24.3	11	14	8	10	16	4	6	7
PRIMA41_9q22.32	4	4	2	0	2	2	3	2
PRIMA41_9q34.3	3	0	2	0	2	0	0	1
PRIMA41_Un_KI270442v1	0	0	0	0	0	0	0	0
PRIMA41_Yp11.2	0	0	0	0	0	0	0	0
PRIMAX_19q13.43	6	2	5	1	5	3	7	9
PRIMAX_22q11.21	0	0	0	0	0	1	3	2
ERV316A3_10q21.3	1	1	0	0	3	0	0	0
ERV316A3_11p15.4k	0	1	2	0	2	2	3	3
ERV316A3_11q23.3c	0	0	0	0	0	0	0	0
ERV316A3_12p11.23a	0	2	3	1	2	1	1	1
ERV316A3_12q14.1e	1	4	1	3	1	5	1	0
ERV316A3_13q14.13	0	0	0	2	1	1	1	1
ERV316A3_14q24.2a	0	0	0	0	0	0	0	0
ERV316A3_14q24.2d	0	0	1	0	1	1	0	0
ERV316A3_14q32.31b	0	0	0	1	2	0	1	0
ERV316A3_1p13.3b	1	1	0	1	0	1	0	0
ERV316A3_1q21.2	2	6	0	0	2	0	0	1
ERV316A3_1q24.2b	0	0	0	0	1	1	0	0
ERV316A3_1q25.3b	3	4	2	6	2	1	1	8
ERV316A3_1q42.12b	1	2	0	1	1	0	4	5
ERV316A3_20p12.1a	1	1	1	0	2	0	1	1
ERV316A3_21q21.2g	1	1	0	1	0	0	1	0
ERV316A3_21q21.3e	0	0	0	0	0	1	0	0
ERV316A3_21q22.3a	1	3	0	2	0	1	2	3
ERV316A3_21q22.3b	4	9	2	2	3	2	0	0
ERV316A3_21q22.3d	2	4	3	1	3	5	1	1
ERV316A3_22q13.33b	0	0	0	0	0	0	5	0
ERV316A3_2p16.2	2	0	0	1	0	0	2	3
ERV316A3_2p24.3c	0	0	0	0	0	0	0	0
ERV316A3_2q14.1e	0	3	0	0	0	0	0	1
ERV316A3_2q31.1b	4	4	3	2	4	3	2	4
ERV316A3_2q35e	2	1	1	0	4	1	1	5
ERV316A3_3p21.31c	9	17	14	12	5	12	13	15
ERV316A3_3p25.2d	0	0	0	0	0	0	0	0
ERV316A3_3q25.2a	0	1	2	1	1	0	0	0
ERV316A3_4p15.2c	10	13	11	9	2	8	4	3
ERV316A3_4p15.2d	9	27	21	13	17	9	15	16
ERV316A3_4q24e	0	0	0	0	0	0	0	0
ERV316A3_5q11.1	0	0	0	0	0	0	1	0
ERV316A3_5q12.1b	11	9	4	6	8	2	1	6
ERV316A3_5q13.3c	0	2	2	0	0	1	0	1
ERV316A3_5q14.1	3	4	3	2	1	1	3	3
ERV316A3_5q15a	0	0	0	0	0	0	0	1
ERV316A3_5q23.1a	0	0	0	0	0	0	3	2
ERV316A3_6p22.1j	0	0	0	0	0	0	0	0
ERV316A3_6p22.1m	0	1	1	2	1	0	1	0
ERV316A3_6q14.3c	0	2	0	0	0	0	0	0
ERV316A3_6q22.31a	2	0	1	0	3	0	0	0
ERV316A3_6q24.1h	1	1	1	1	2	0	2	3
ERV316A3_6q25.1h	3	3	0	3	1	2	0	0
ERV316A3_9p13.3a	0	3	0	0	0	3	3	5
ERV316A3_Xp11.3c	0	2	1	0	2	1	1	1
ERVL_10p14	0	2	0	2	3	1	2	1
ERVL_14q22.1	0	0	0	0	0	0	0	0
ERVL_6q23.3b	0	0	0	1	0	0	0	0
ERVL_Xp11.22b	0	0	0	0	0	0	0	0
ERVLB4_12p13.31d	0	0	0	0	0	0	1	0
ERVLB4_13q12.11a	0	0	0	0	0	0	0	0
ERVLB4_13q13.2	0	2	1	0	2	1	0	0
ERVLB4_14q12f	0	0	0	0	0	0	1	1
ERVLB4_14q31.3b	0	1	0	1	0	0	0	1
ERVLB4_15q13.2b	0	1	0	0	0	0	0	0
ERVLB4_18q12.2a	0	0	0	0	0	0	0	0
ERVLB4_1p21.1d	0	0	0	0	0	0	0	0
ERVLB4_1p34.2b	1	3	2	0	2	5	3	2
ERVLB4_2q11.1a	0	1	0	1	0	0	0	0
ERVLB4_2q21.1c	2	1	1	0	1	0	0	0
ERVLB4_3p11.1c	0	3	2	1	2	1	1	2
ERVLB4_3q21.2	0	0	0	0	0	0	0	0
ERVLB4_3q22.1b	0	0	0	0	0	0	0	0
ERVLB4_4p15.2a	0	2	0	0	0	0	0	2
ERVLB4_4q31.3b	1	0	0	0	1	1	0	1
ERVLB4_5p15.2b	0	1	2	0	1	1	2	0
ERVLB4_7q21.3b	0	0	0	0	0	0	0	0
ERVLB4_8p23.1c	0	0	0	0	0	0	0	0
ERVLB4_8p23.1g	0	0	0	0	0	0	0	0
ERVLB4_8p23.1o	0	0	0	0	0	0	0	0
ERVLB4_8q21.11b	0	1	1	1	1	0	1	1
ERVLB4_Xq11.1b	3	4	1	1	2	2	2	3
ERVLB4_Xq28b	2	6	1	0	1	0	0	1
ERVLE_11p15.4f	1	1	0	0	1	1	0	0
ERVLE_12q14.1a	0	0	0	0	0	0	0	0
ERVLE_13q12.11	2	2	0	1	1	4	3	5
ERVLE_13q13.1a	0	0	0	0	0	0	0	0
ERVLE_14q23.1	1	0	0	0	0	0	1	0
ERVLE_15q11.1	0	0	0	0	0	0	0	0
ERVLE_15q24.3d	1	0	0	0	0	0	0	0
ERVLE_15q25.1f	2	6	0	2	1	0	0	0
ERVLE_16p11.2c	0	0	0	0	0	0	0	0
ERVLE_16p12.1b	4	5	4	9	4	1	9	7
ERVLE_18q12.3d	0	1	0	0	0	0	0	0
ERVLE_18q21.33	2	5	0	2	1	3	0	1
ERVLE_19q13.31c	3	7	7	3	4	0	1	9
ERVLE_1p32.3a	1	0	0	1	0	1	0	2
ERVLE_1p36.11b	0	0	0	0	0	0	0	1
ERVLE_1p36.22	2	1	0	0	1	2	0	0
ERVLE_1q42.12b	8	13	0	2	7	9	1	0
ERVLE_2p13.2a	7	6	0	3	9	3	3	4
ERVLE_2q31.1b	1	0	0	1	1	0	1	2
ERVLE_2q34e	3	1	1	7	2	4	0	1
ERVLE_2q34g	2	5	0	2	1	0	0	1
ERVLE_3p11.2a	0	1	2	0	0	1	0	0
ERVLE_3p24.3e	1	0	0	1	0	0	0	1
ERVLE_3q13.2b	0	1	0	0	0	0	0	0
ERVLE_3q22.3a	0	0	1	0	1	0	3	1
ERVLE_4q23c	0	1	0	0	0	0	0	0
ERVLE_4q28.1b	0	4	0	0	2	1	0	0
ERVLE_4q31.21a	0	4	2	1	3	3	4	4
ERVLE_4q31.21b	0	1	0	0	1	0	2	3
ERVLE_4q32.1k	2	1	1	1	1	1	0	0
ERVLE_5p13.3i	0	0	0	0	0	0	1	1
ERVLE_5p15.31b	5	10	2	3	3	0	3	1
ERVLE_5p15.32a	1	1	0	0	1	1	1	1
ERVLE_5q13.3c	0	4	0	0	0	0	0	0
ERVLE_5q14.2	0	0	0	0	0	1	1	0
ERVLE_5q31.1b	5	5	10	10	7	2	4	2
ERVLE_5q31.3d	0	3	2	5	3	3	1	3
ERVLE_6p25.3c	0	1	1	0	1	0	0	0
ERVLE_6q14.1g	0	0	0	0	1	0	0	0
ERVLE_6q21a	1	0	0	0	0	0	0	0
ERVLE_6q23.2b	0	0	0	0	2	0	1	0
ERVLE_7p14.3c	0	0	0	0	0	0	0	0
ERVLE_8q24.3j	1	1	0	1	0	0	0	2
ERVLE_Xq22.3i	4	4	1	1	2	4	1	2
HARLEQUIN_5q23.1	2	7	1	2	4	1	0	1
HARLEQUIN_6p21.32	0	0	0	0	0	0	0	0
HARLEQUIN_9q21.33	0	0	0	0	0	0	0	0
HARLEQUIN_Xq21.1	0	0	0	0	0	0	0	0
HERV3_14q12	0	1	0	3	0	1	0	0
HERV3_22q13.31	0	2	0	0	1	1	0	0
HERV30_19p13.11	2	7	1	0	1	0	4	2
HERV4_11q21	3	13	1	3	11	4	4	8
HERV4_15q26.1	0	1	0	1	0	0	1	6
HERV9_12q22a	0	0	0	0	1	0	0	0
HERV9_12q23.3	0	0	0	0	0	0	0	0
HERV9_12q24.32	0	0	0	0	0	0	0	0
HERV9_12q24.33b	0	0	0	0	0	0	0	0
HERV9_15q21.1a	0	0	0	0	0	0	0	0
HERV9_1p12	0	0	0	0	0	0	0	0
HERV9_4p14	0	0	0	0	0	0	0	0
HERV9_6p21.2	2	6	0	2	1	3	2	0
HERV9_8q21.11a	0	0	0	0	0	0	0	0
HERV9_8q21.11b	0	1	0	0	0	0	2	0
HERV9_Yq11.221l	0	0	0	0	0	0	0	0
HERVE_12q13.13	0	1	2	3	1	0	0	3
HERVE_2q24.1c	2	0	13	9	0	1	2	11
HERVE_3p12.3a	8	5	2	4	5	4	8	10
HERVE_7q36.1	0	0	0	0	0	0	0	0
HERVE_Yp11.2c	0	0	0	0	0	0	0	0
HERVEA_10q23.1	0	0	0	0	0	0	0	0
HERVEA_11q12.2	0	0	0	0	0	0	0	0
HERVEA_13q21.32	0	0	0	0	0	0	0	0
HERVEA_19p12b	0	0	0	0	0	0	0	0
HERVEA_19p13.2	0	0	0	0	0	0	0	0
HERVEA_3p12.3	0	0	0	0	1	0	0	1
HERVEA_3q25.32	8	18	0	1	17	12	1	0
HERVEA_4q28.3	0	0	0	0	0	0	0	0
HERVEA_6q22.31	0	0	0	1	0	1	0	1
HERVEA_Xq28	1	0	0	0	0	0	0	1
HERVFH21_3q23	0	0	0	0	0	0	0	0
HERVFRD_10p11.22a	3	0	0	1	0	0	3	1
HERVFRD_13q31.1	1	5	0	0	0	0	0	0
HERVFRD_20q11.23a	0	0	0	0	0	0	0	0
HERVFRD_21q21.3	4	4	0	2	2	1	0	1
HERVFRD_7p21.3	6	10	6	5	8	6	21	16
HERVH_11p14.1c	0	0	0	0	0	0	0	0
HERVH_12q13.11b	0	0	0	0	0	0	0	0
HERVH_12q24.33b	2	1	0	0	1	1	0	2
HERVH_14q22.1b	1	0	0	0	0	1	2	1
HERVH_18q21.32	0	0	0	0	0	0	0	0
HERVH_1p36.13	0	0	0	0	0	0	0	0
HERVH_1q24.2	3	5	15	10	3	6	4	5
HERVH_2p16.2	1	0	0	0	0	0	0	1
HERVH_3p12.2b	0	0	1	0	0	0	0	0
HERVH_3p14.2	0	0	0	0	1	1	0	0
HERVH_3q11.2b	0	0	0	0	0	0	0	0
HERVH_4q12b	0	0	0	0	0	0	0	0
HERVH_5p12a	0	1	4	3	1	0	6	6
HERVH_8q21.13c	0	1	0	0	0	0	0	0
HERVH_9p13.3d	0	3	1	1	1	0	0	0
HERVH_9p24.2b	0	0	0	0	0	0	0	0
HERVH48_11q21	0	0	0	0	0	0	0	1
HERVI_7q33c	2	1	0	0	1	0	0	3
HERVIP10F_11p14.3	0	1	0	0	0	0	0	0
HERVIP10F_13q34	20	21	39	45	16	9	126	136
HERVIP10F_14q32.31	2	0	20	14	0	0	185	296
HERVIP10F_16p13.13	7	10	0	3	2	4	1	2
HERVIP10F_1p36.33	0	0	0	0	2	0	0	0
HERVIP10F_2p12	0	0	3	3	0	3	23	45
HERVIP10F_3p25.1b	0	0	0	0	0	0	0	0
HERVIP10FH_16p11.1a	0	0	1	0	0	0	0	0
HERVIP10FH_19p12c	0	0	0	0	0	0	1	0
HERVIP10FH_19p13.2	0	0	0	0	0	0	0	0
HERVIP10FH_19q13.41	0	0	0	0	0	0	0	0
HERVIP10FH_1p33a	1	2	4	0	1	0	0	1
HERVIP10FH_1p36.21b	0	0	0	0	0	0	0	0
HERVIP10FH_2p23.1	3	4	1	2	1	1	3	3
HERVIP10FH_3q13.33	2	3	1	2	3	2	1	6
HERVIP10FH_3q29	0	0	0	1	0	0	0	0
HERVIP10FH_4q12	0	0	0	0	0	0	0	0
HERVIP10FH_5q33.1	0	0	0	0	0	0	0	1
HERVIP10FH_Xq22.3	0	0	0	0	0	0	0	0
HERVK11_19p11b	0	0	0	0	0	0	0	0
HERVK11_19p12a	0	0	0	0	0	0	0	0
HERVK11_1p13.3	5	1	0	1	2	0	0	0
HERVK11_2q14.2	0	1	0	0	0	0	0	0
HERVK11_4q32.3	0	0	0	0	0	0	1	0
HERVK11_9p21.1	0	0	0	0	0	0	0	0
HERVK11_Yq11.222a	0	0	0	0	0	0	0	0
HERVKC4_6p22.1	3	3	1	2	1	2	0	1
HERVL_10p11.22b	1	1	1	2	0	3	1	0
HERVL_10q25.1a	0	0	0	0	0	0	0	0
HERVL_10q26.3a	0	0	1	0	0	1	1	1
HERVL_11p11.2b	0	0	0	0	0	0	0	0
HERVL_11p14.1b	18	24	13	8	17	11	73	63
HERVL_11q12.1c	1	2	0	1	0	2	3	1
HERVL_11q14.3b	0	0	0	0	0	0	0	0
HERVL_11q24.2b	0	0	0	0	0	0	0	0
HERVL_12p13.1a	0	0	0	0	0	0	0	0
HERVL_12p13.31b	0	0	0	0	0	0	0	0
HERVL_12q21.2b	28	48	5	13	26	24	47	55
HERVL_12q23.3a	0	1	0	0	0	0	0	0
HERVL_12q24.22	0	0	0	0	0	1	0	0
HERVL_13q21.2	0	1	0	0	1	0	0	0
HERVL_14q32.12	0	0	0	0	0	0	0	0
HERVL_16q24.1	0	0	1	0	0	0	0	1
HERVL_1p22.1a	0	0	0	0	0	0	2	1
HERVL_1p22.2b	2	4	3	3	3	4	0	1
HERVL_1p31.3c	0	0	0	0	0	0	0	0
HERVL_1p34.2	0	0	0	0	0	1	0	0
HERVL_1p34.3b	0	0	0	0	0	0	0	0
HERVL_1p36.22	2	6	0	3	9	3	4	5
HERVL_1q23.3a	6	8	1	6	5	6	0	1
HERVL_21q21.3f	0	0	0	0	1	0	6	1
HERVL_2p16.2	2	6	5	3	1	1	1	11
HERVL_2q14.3a	0	0	0	0	0	0	0	0
HERVL_2q32.1j	0	1	0	3	1	0	8	11
HERVL_2q34a	12	14	3	3	11	6	8	5
HERVL_3q24d	0	0	0	0	0	0	0	0
HERVL_5q13.3	0	0	1	3	0	2	1	2
HERVL_6q13b	1	0	0	0	0	0	0	0
HERVL_6q24.1c	0	0	0	0	0	0	0	0
HERVL_6q24.3c	0	1	0	3	0	0	0	4
HERVL_7p15.2b	0	0	0	1	0	0	0	0
HERVL_7q31.1b	0	0	1	0	0	0	0	0
HERVL_7q31.32	5	4	1	4	2	5	5	6
HERVL_8q12.3a	0	0	0	1	0	1	0	0
HERVL_9p21.1a	0	0	1	0	0	1	1	0
HERVL_9p23b	0	0	0	0	0	0	0	0
HERVL_Xp22.2	0	0	1	0	0	0	3	3
HERVL_Xq21.33g	0	0	0	0	0	0	0	0
HERVL_Xq25g	0	0	3	0	0	0	1	0
HERVL18_10q21.1b	0	0	2	1	1	2	0	3
HERVL18_1p31.3a	6	19	5	2	6	7	5	2
