SRR1942929	SRR1942934	SRR1942956	SRR1942957	SRR1942960	SRR1942961	SRR1942989	SRR1942990
ERVLB4_19q13.12	19	29	13	15	25	23	5	5
ERVLB4_19q13.31a	11	12	3	2	12	7	6	3
ERVLB4_19q13.32	7	7	1	2	4	1	6	4
ERVLB4_19q13.42d	2	3	0	2	6	2	4	2
ERVLB4_1p21.3a	0	0	0	0	1	1	0	0
ERVLB4_1p21.3c	1	0	1	0	1	1	1	0
ERVLB4_1p22.3c	61	101	16	15	59	43	25	13
ERVLB4_1p36.12b	1	0	0	0	0	1	0	1
ERVLB4_1p36.22	6	11	0	2	2	3	5	3
ERVLB4_1q21.1a	0	0	0	0	0	0	0	0
ERVLB4_1q21.1b	0	0	0	0	0	0	0	0
ERVLB4_1q32.2a	0	0	0	0	0	0	0	0
ERVLB4_1q42.13b	13	14	3	1	9	8	0	1
ERVLB4_20q13.12a	22	31	19	26	22	9	18	37
ERVLB4_21q21.3e	226	335	102	79	236	161	63	82
ERVLB4_22q11.1a	0	1	1	0	0	0	0	0
ERVLB4_22q11.21a	2	2	0	2	1	2	1	2
ERVLB4_22q11.22a	0	0	0	1	0	0	0	0
ERVLB4_22q13.31b	17	22	8	5	14	15	5	6
ERVLB4_2p11.2a	0	0	0	0	0	0	0	0
ERVLB4_2p11.2d	0	0	0	0	0	0	0	0
ERVLB4_2p11.2e	0	0	0	0	0	0	0	0
ERVLB4_2p16.3	1	0	0	1	0	0	3	0
ERVLB4_2p25.1b	7	4	4	9	1	4	3	4
ERVLB4_2q13b	0	0	0	0	0	0	0	0
ERVLB4_2q13c	914	1172	292	372	727	648	167	211
ERVLB4_2q24.3c	3	0	0	0	1	2	2	2
ERVLB4_2q37.1a	32	36	10	4	23	14	8	5
ERVLB4_2q37.1b	2	5	2	4	0	2	0	0
ERVLB4_2q37.3b	41	60	10	12	35	26	6	10
ERVLB4_3p21.31a	30	47	12	12	23	17	4	4
ERVLB4_3p25.3	10	10	4	1	10	4	4	6
ERVLB4_3q13.31	1	1	1	2	2	3	1	1
ERVLB4_3q22.1a	18	34	4	8	16	17	2	4
ERVLB4_3q25.31a	6	3	1	2	3	6	1	0
ERVLB4_4q23b	8	23	7	9	13	11	24	19
ERVLB4_4q31.21a	3	5	0	5	2	1	2	2
ERVLB4_5q11.2a	6	3	1	3	2	0	5	5
ERVLB4_5q23.2a	0	1	0	0	0	2	1	1
ERVLB4_6p23	0	0	0	0	0	0	0	0
ERVLB4_6q16.1d	11	16	4	2	8	9	1	2
ERVLB4_6q21b	8	13	5	3	3	5	1	0
ERVLB4_6q22.31c	2	0	2	1	1	1	0	0
ERVLB4_6q27c	0	1	2	1	0	0	0	1
ERVLB4_7q22.1a	0	2	2	2	1	0	2	6
ERVLB4_7q31.1c	3	0	4	1	1	4	0	0
ERVLB4_7q34a	0	0	0	0	0	0	0	0
ERVLB4_7q36.3a	20	21	13	12	11	8	7	6
ERVLB4_8p11.22a	38	66	18	24	50	40	20	29
ERVLB4_8p11.23b	21	24	9	14	20	14	7	12
ERVLB4_8p12b	0	1	3	0	1	0	1	0
ERVLB4_8p21.1a	4	7	1	2	6	8	1	3
ERVLB4_8p21.1b	12	6	2	2	9	5	2	0
ERVLB4_8p21.1c	4	2	2	0	0	3	7	6
ERVLB4_8p21.3a	17	21	31	31	23	19	36	57
ERVLB4_8p21.3b	0	5	1	2	3	2	1	2
ERVLB4_8p23.1b	0	0	0	0	1	0	0	0
ERVLB4_8p23.1e	6	0	1	1	2	0	0	0
ERVLB4_8p23.1f	2	0	0	0	0	0	0	0
ERVLB4_8p23.1i	0	0	0	0	0	0	0	0
ERVLB4_8p23.1l	0	0	0	0	0	4	0	0
ERVLB4_8p23.1n	0	0	0	0	0	1	0	0
ERVLB4_8q23.1d	4	1	5	3	4	1	3	1
ERVLB4_8q24.3d	784	947	216	236	748	511	156	166
ERVLB4_9p21.3a	0	0	2	1	0	0	3	7
ERVLB4_9q22.33b	228	325	82	93	212	169	25	45
ERVLB4_9q22.33c	1	1	0	1	2	1	0	0
ERVLB4_9q22.33d	1	0	0	0	1	0	0	0
ERVLB4_Xp11.21a	9	12	11	14	6	6	6	13
ERVLB4_Xp11.21b	0	0	0	0	0	1	0	0
ERVLB4_Xp21.1d	51	76	21	30	45	37	5	8
ERVLB4_Xp21.1e	61	103	24	21	56	52	16	15
ERVLB4_Xq22.1h	3	6	0	0	1	1	3	3
ERVLB4_Xq24	0	0	0	0	0	0	0	0
ERVLB4_Xq26.2b	0	0	0	1	0	0	0	0
ERVLB4_Xq26.3a	29	26	13	13	25	26	3	10
ERVLB4_Xq26.3y	1	2	5	3	3	1	0	4
ERVLE_1_KI270711v1_random	0	0	0	0	0	0	0	0
ERVLE_10p15.1c	27	33	4	7	19	25	24	14
ERVLE_10q11.22a	0	0	0	0	0	0	0	0
ERVLE_10q11.22c	0	0	0	0	0	0	0	0
ERVLE_10q22.3	1	3	0	0	2	1	1	0
ERVLE_10q26.11a	1	0	0	0	1	0	0	0
ERVLE_11p11.2c	2	2	3	1	6	3	4	4
ERVLE_11p14.1a	1	1	0	0	1	0	0	0
ERVLE_11p15.4c	0	3	1	2	0	0	0	1
ERVLE_11q13.4a	1	0	0	0	0	0	2	0
ERVLE_11q13.4g	8	8	6	9	11	7	16	23
ERVLE_11q14.2a	50	60	13	18	43	33	9	5
ERVLE_11q22.3f	0	1	1	0	1	1	1	0
ERVLE_11q22.3l	18	18	6	11	11	10	2	3
ERVLE_12p11.21b	0	4	1	2	2	3	29	22
ERVLE_12p11.23	73	84	36	26	73	55	14	16
ERVLE_12p12.1a	9	21	4	7	11	8	1	3
ERVLE_12p12.3g	0	4	1	0	3	1	0	2
ERVLE_12p13.2a	3	1	1	1	2	0	0	0
ERVLE_12p13.2b	0	1	0	1	0	1	2	0
ERVLE_12p13.31a	6	7	3	1	6	4	2	1
ERVLE_12q13.12	2	4	1	3	2	1	1	3
ERVLE_12q15	0	0	0	0	0	0	0	0
ERVLE_12q21.2	1	0	0	1	1	1	0	0
ERVLE_12q21.33	25	33	6	9	29	24	5	6
ERVLE_13q12.13b	5	1	2	1	2	0	1	6
ERVLE_13q13.2b	0	1	0	2	3	0	0	0
ERVLE_13q14.13	22	34	10	13	34	13	5	4
ERVLE_13q21.32c	0	0	0	0	0	0	0	0
ERVLE_14q11.2d	1	2	1	1	0	0	0	2
ERVLE_14q12b	13	19	1	0	7	7	2	4
ERVLE_14q12m	9	16	6	8	5	8	24	26
ERVLE_14q21.3e	6	10	10	9	12	6	1	3
ERVLE_14q22.2a	1	0	1	1	2	3	2	0
ERVLE_14q24.3	1	1	2	0	0	0	1	0
ERVLE_14q32.12a	3	3	0	1	4	2	0	0
ERVLE_14q32.32a	22	26	10	8	21	15	8	7
ERVLE_15q22.2a	0	0	0	0	0	0	0	0
ERVLE_15q25.1a	5	2	1	0	2	1	1	0
ERVLE_15q25.1e	4	3	1	2	1	0	7	3
ERVLE_15q25.2	0	2	1	0	1	2	0	0
ERVLE_15q25.3a	3	1	0	1	3	5	0	1
ERVLE_15q25.3b	44	72	13	24	38	36	17	26
ERVLE_16p11.2a	0	0	0	0	0	0	2	0
ERVLE_16p11.2b	10	34	12	0	28	1	1	11
ERVLE_16p12.1c	17	2	0	2	0	11	0	1
ERVLE_16p13.3a	11	14	5	5	7	13	1	4
ERVLE_16p13.3b	6	6	1	1	5	7	1	0
ERVLE_16q23.3	1	3	0	1	0	3	3	5
ERVLE_17p11.2c	7	5	1	0	12	2	1	1
ERVLE_17q11.2c	0	0	0	0	1	4	5	1
ERVLE_18p11.21d	3	2	0	1	1	1	0	5
ERVLE_18q11.2a	0	0	1	0	1	1	1	1
ERVLE_18q11.2c	1	4	0	2	7	2	3	0
ERVLE_18q12.2a	5	8	1	8	3	4	4	1
ERVLE_19p13.2a	17	30	13	12	33	24	7	5
ERVLE_19q13.12c	19	28	12	11	15	23	20	17
ERVLE_19q13.31d	4	4	10	13	3	1	28	26
ERVLE_19q13.42	43	74	25	24	41	28	5	11
ERVLE_1p13.2a	16	29	9	8	17	19	7	14
ERVLE_1p21.3c	14	8	11	5	9	9	2	2
ERVLE_1p31.1j	21	20	17	21	12	11	4	1
ERVLE_1p34.2a	4	6	4	3	3	4	0	1
ERVLE_1p35.1c	7	19	3	4	12	5	7	9
ERVLE_1p36.12	3	6	1	1	3	3	1	0
ERVLE_1p36.13b	38	32	14	4	25	18	6	11
ERVLE_1q21.3b	1	1	0	0	0	1	1	1
ERVLE_1q23.1a	94	148	33	47	73	59	14	17
ERVLE_1q23.2b	7	10	6	11	13	10	9	6
ERVLE_1q24.2	0	0	0	1	0	0	0	1
ERVLE_1q25.3g	0	1	0	0	0	0	0	0
ERVLE_1q31.1e	0	0	0	0	0	0	0	0
ERVLE_1q41h	0	0	0	0	0	1	0	0
ERVLE_1q42.12a	8	9	3	1	2	6	1	2
ERVLE_1q44c	0	1	0	1	1	0	1	0
ERVLE_20p12.2b	1	1	0	0	0	0	0	1
ERVLE_20q13.12b	3	2	1	3	3	2	7	5
ERVLE_20q13.33b	11	16	29	39	15	16	32	43
ERVLE_22q11.23b	0	0	0	0	1	0	0	0
ERVLE_22q13.2f	0	1	0	0	0	0	0	0
ERVLE_22q13.33	71	106	39	33	65	59	19	25
ERVLE_2p14a	1	6	0	0	1	2	0	0
ERVLE_2p22.1b	7	4	5	2	3	0	9	7
ERVLE_2p22.3a	0	0	1	1	1	0	0	0
ERVLE_2p23.3a	1	2	1	2	1	0	1	1
ERVLE_2p23.3b	9	6	7	6	6	4	5	2
ERVLE_2q11.2b	19	32	13	13	22	11	14	9
ERVLE_2q14.1b	1	2	4	0	1	0	1	2
ERVLE_2q21.2a	2	4	3	3	3	3	5	4
ERVLE_2q24.2c	2	2	3	1	4	2	1	0
ERVLE_2q24.3b	0	1	1	1	2	1	0	0
ERVLE_2q31.2	1	2	0	1	1	0	0	1
ERVLE_2q32.1c	0	1	0	2	0	0	2	4
ERVLE_2q33.1a	1	0	0	0	0	0	0	0
ERVLE_2q33.1d	7	6	4	2	2	2	1	2
ERVLE_2q35a	3	7	3	3	4	5	1	1
ERVLE_2q36.3b	2	2	3	2	2	1	2	1
ERVLE_3p21.31a	9	11	6	0	10	6	3	3
ERVLE_3p21.31f	0	0	0	0	0	0	0	0
ERVLE_3p21.31g	2	0	2	0	0	0	0	0
ERVLE_3q13.13b	5	6	0	1	3	2	1	4
ERVLE_3q13.13f	0	2	0	0	1	0	0	3
ERVLE_3q22.3b	1	0	0	0	0	0	1	0
ERVLE_3q26.2	2	3	1	1	0	1	0	0
ERVLE_3q27.1b	0	0	0	1	0	0	0	0
ERVLE_3q29b	29	30	7	8	22	14	0	3
ERVLE_4p16.1b	3	4	0	2	1	0	0	2
ERVLE_4q24i	27	37	13	12	19	23	14	18
ERVLE_4q25d	4	7	1	4	3	4	11	15
ERVLE_4q25h	0	1	1	1	7	2	0	1
ERVLE_4q32.1f	5	7	1	4	4	4	3	5
ERVLE_4q32.1l	1	1	0	1	3	2	2	4
ERVLE_4q35.2c	8	7	6	3	5	5	44	39
ERVLE_5p13.3e	0	0	0	0	0	0	0	0
ERVLE_5p13.3m	0	3	0	0	0	0	1	2
ERVLE_5p15.33b	0	0	0	1	0	0	3	2
ERVLE_5q13.2a	12	17	5	9	8	11	9	7
ERVLE_5q22.3e	9	3	4	4	4	4	9	14
ERVLE_5q31.1c	8	17	19	21	13	7	6	10
ERVLE_5q31.3b	2	3	3	3	1	2	2	0
ERVLE_5q35.3c	9	8	1	1	12	2	2	4
ERVLE_6p22.1a	5	7	11	15	6	2	8	7
ERVLE_6p25.1a	2	2	0	1	3	0	0	0
ERVLE_6q14.1m	0	1	0	2	0	2	1	6
ERVLE_6q21c	1	3	5	2	6	6	4	3
ERVLE_6q22.31g	1	0	2	1	1	0	1	1
ERVLE_6q22.32	19	25	12	4	19	13	37	24
ERVLE_6q24.1a	2	6	1	1	3	2	3	0
ERVLE_6q24.1e	0	1	0	0	0	2	0	0
ERVLE_6q24.3c	0	1	0	0	0	0	0	0
ERVLE_6q27d	0	2	1	1	1	0	1	0
ERVLE_7p15.3c	0	0	0	1	2	0	0	0
ERVLE_7p21.3b	4	6	3	1	3	0	2	0
ERVLE_7p22.1a	6	15	5	4	8	6	13	25
ERVLE_7q11.21	2	1	2	3	1	1	2	2
ERVLE_7q21.2	8	5	2	2	4	2	1	0
ERVLE_7q22.1c	11	6	5	7	2	6	4	4
ERVLE_7q32.2a	0	0	1	0	1	0	0	0
ERVLE_7q34a	4	2	2	2	8	1	0	1
ERVLE_7q34b	0	2	0	0	0	0	0	0
ERVLE_7q34d	0	0	0	0	0	0	0	0
ERVLE_7q36.1c	0	0	1	0	0	0	0	0
ERVLE_8p11.22b	2	0	2	0	2	2	3	6
ERVLE_8p23.1a	0	0	0	0	1	2	0	1
ERVLE_8q11.21a	3	4	1	0	1	0	2	1
ERVLE_8q11.23b	14	21	7	6	7	16	5	3
ERVLE_8q21.3f	4	6	3	3	2	2	1	2
ERVLE_8q22.3b	20	35	8	10	15	10	1	3
ERVLE_8q22.3c	10	17	6	8	4	11	4	4
ERVLE_8q23.1e	1	2	1	0	1	0	1	0
ERVLE_8q24.13g	1	1	1	0	1	1	4	4
ERVLE_8q24.22b	4	2	0	1	3	3	0	0
ERVLE_8q24.22e	0	1	0	0	0	0	0	0
ERVLE_8q24.3h	20	40	11	16	24	23	6	3
ERVLE_8q24.3i	26	24	13	17	25	12	44	46
ERVLE_9p13.3a	4	6	4	3	5	5	8	2
ERVLE_9p22.3a	0	0	0	0	0	0	1	0
ERVLE_9p24.1b	4	2	4	5	3	3	3	2
ERVLE_9q21.13b	1	0	0	0	0	0	0	0
ERVLE_9q22.1	8	4	1	3	8	2	0	1
ERVLE_9q22.31	14	7	6	3	8	9	6	7
ERVLE_Xp11.22a	4	5	1	1	4	3	1	1
ERVLE_Xp11.22b	0	0	1	2	0	0	1	0
ERVLE_Xq23b	0	0	0	0	0	0	0	0
ERVLE_Xq24	0	1	2	2	0	1	0	2
HARLEQUIN_10p11.23a	0	1	0	2	1	1	0	0
HARLEQUIN_10p11.23b	0	0	0	0	1	0	0	0
HARLEQUIN_10q21.2a	0	0	0	0	0	0	1	1
HARLEQUIN_10q21.2b	3	7	0	2	7	2	7	5
HARLEQUIN_10q22.1	0	1	0	0	0	0	0	0
HARLEQUIN_10q23.1	2	2	2	0	2	0	0	0
HARLEQUIN_10q23.33	0	2	1	2	0	2	1	1
HARLEQUIN_10q24.2	2	11	10	2	4	4	0	1
HARLEQUIN_11q12.2a	0	0	0	0	0	0	0	0
HARLEQUIN_11q12.2b	1	4	3	0	1	1	0	0
HARLEQUIN_11q13.4	35	44	11	9	40	21	2	5
HARLEQUIN_11q14.1	0	0	0	0	0	0	0	0
HARLEQUIN_11q21	0	0	0	3	2	0	0	0
HARLEQUIN_11q22.1b	0	1	0	0	0	0	0	0
