Calu3_mock3	Calu3_mock2	Calu3_mock1	Calu3_SARSCoV2_3	Calu3_SARSCoV2_2	Calu3_SARSCoV2_1
L1FLnI_6q13qa	0	0	0	0	0	0
L1FLnI_6q13r	0	0	2	0	0	0
L1FLnI_6q13ra	0	0	1	0	0	0
L1FLnI_6q13s	0	1	0	0	0	0
L1FLnI_6q13sa	0	0	1	0	1	0
L1FLnI_6q13t	0	0	0	0	0	0
L1FLnI_6q13u	0	0	0	1	0	0
L1FLnI_6q13va	0	0	0	1	0	0
L1FLnI_6q13w	0	0	0	0	0	0
L1FLnI_6q13x	0	0	1	0	0	2
L1FLnI_6q13xa	0	0	0	0	0	0
L1FLnI_6q13y	7	12	13	17	8	13
L1FLnI_6q14.1a	1	5	1	1	0	1
L1FLnI_6q14.1aa	0	0	0	0	0	0
L1FLnI_6q14.1ab	1	0	3	0	0	0
L1FLnI_6q14.1ac	0	0	0	0	0	0
L1FLnI_6q14.1b	32	34	112	75	67	67
L1FLnI_6q14.1bb	0	0	0	0	0	0
L1FLnI_6q14.1bc	0	2	3	0	0	0
L1FLnI_6q14.1ca	0	0	0	0	0	0
L1FLnI_6q14.1cb	0	0	0	0	0	0
L1FLnI_6q14.1d	0	0	0	0	0	0
L1FLnI_6q14.1e	0	0	0	0	0	0
L1FLnI_6q14.1ea	0	0	0	0	0	0
L1FLnI_6q14.1eb	0	0	0	0	0	0
L1FLnI_6q14.1f	0	0	0	0	0	0
L1FLnI_6q14.1fa	0	0	0	0	0	0
L1FLnI_6q14.1fb	0	0	0	0	0	0
L1FLnI_6q14.1g	0	0	0	0	0	0
L1FLnI_6q14.1ga	0	0	0	0	0	0
L1FLnI_6q14.1h	0	1	0	0	0	0
L1FLnI_6q14.1ha	0	0	0	0	0	0
L1FLnI_6q14.1i	0	0	1	0	0	0
L1FLnI_6q14.1ia	5	3	5	8	0	11
L1FLnI_6q14.1ib	0	0	0	0	0	0
L1FLnI_6q14.1j	0	0	0	0	0	0
L1FLnI_6q14.1ja	0	0	0	3	0	2
L1FLnI_6q14.1jb	0	0	0	0	0	0
L1FLnI_6q14.1kb	0	0	1	0	0	0
L1FLnI_6q14.1la	1	0	4	4	5	4
L1FLnI_6q14.1lb	0	0	0	0	0	0
L1FLnI_6q14.1m	0	0	0	0	0	0
L1FLnI_6q14.1ma	0	0	0	0	0	0
L1FLnI_6q14.1mb	0	0	0	0	0	0
L1FLnI_6q14.1n	0	0	0	0	0	0
L1FLnI_6q14.1na	0	0	1	0	0	3
L1FLnI_6q14.1nb	0	0	0	3	5	0
L1FLnI_6q14.1oa	0	0	0	0	0	0
L1FLnI_6q14.1ob	0	0	0	0	0	1
L1FLnI_6q14.1p	0	2	0	0	0	0
L1FLnI_6q14.1pa	33	8	87	32	32	31
L1FLnI_6q14.1pb	0	0	0	1	0	0
L1FLnI_6q14.1qa	0	0	0	0	1	0
L1FLnI_6q14.1r	0	0	0	0	0	0
L1FLnI_6q14.1rb	0	0	2	1	0	3
L1FLnI_6q14.1s	0	0	0	0	0	0
L1FLnI_6q14.1sa	0	0	0	0	0	0
L1FLnI_6q14.1sb	0	0	0	0	0	0
L1FLnI_6q14.1t	0	0	0	0	0	0
L1FLnI_6q14.1tb	0	0	0	0	0	0
L1FLnI_6q14.1u	0	0	0	0	0	0
L1FLnI_6q14.1ub	0	0	0	1	0	1
L1FLnI_6q14.1v	0	0	0	0	0	0
L1FLnI_6q14.1va	0	0	2	0	0	1
L1FLnI_6q14.1vb	0	0	0	0	0	1
L1FLnI_6q14.1wb	1	0	1	0	0	0
L1FLnI_6q14.1x	0	0	0	0	0	0
L1FLnI_6q14.1xa	0	0	0	0	0	1
L1FLnI_6q14.1xb	0	0	0	0	0	0
L1FLnI_6q14.1y	0	0	0	0	0	0
L1FLnI_6q14.1ya	0	0	0	0	0	0
L1FLnI_6q14.1yb	0	0	0	0	0	0
L1FLnI_6q14.1z	0	0	0	0	0	0
L1FLnI_6q14.1zb	0	0	0	0	0	0
L1FLnI_6q14.2a	0	0	0	0	0	0
L1FLnI_6q14.2b	0	0	0	0	0	0
L1FLnI_6q14.2c	0	0	0	0	0	0
L1FLnI_6q14.2d	0	0	0	0	0	0
L1FLnI_6q14.2f	0	0	0	0	0	0
L1FLnI_6q14.2g	0	0	0	0	0	0
L1FLnI_6q14.2h	0	0	0	0	0	0
L1FLnI_6q14.2i	0	0	0	0	0	0
L1FLnI_6q14.2j	6	6	33	16	6	17
L1FLnI_6q14.2k	2	3	3	1	0	0
L1FLnI_6q14.2l	0	0	0	0	0	0
L1FLnI_6q14.3a	0	0	0	0	0	0
L1FLnI_6q14.3aa	0	0	0	0	0	0
L1FLnI_6q14.3b	0	0	0	0	0	0
L1FLnI_6q14.3ba	0	0	0	0	0	0
L1FLnI_6q14.3c	0	0	0	0	0	0
L1FLnI_6q14.3ca	0	0	2	0	1	0
L1FLnI_6q14.3d	0	0	0	0	0	0
L1FLnI_6q14.3da	0	0	0	0	0	0
L1FLnI_6q14.3e	0	0	0	0	0	0
L1FLnI_6q14.3f	0	0	0	0	0	0
L1FLnI_6q14.3fa	0	0	0	0	0	0
L1FLnI_6q14.3g	0	0	0	0	0	0
L1FLnI_6q14.3h	0	0	0	0	0	0
L1FLnI_6q14.3ha	0	0	0	0	0	0
L1FLnI_6q14.3i	0	0	0	0	0	0
L1FLnI_6q14.3ia	0	0	0	0	0	1
L1FLnI_6q14.3j	0	0	0	0	0	0
L1FLnI_6q14.3ja	0	0	0	0	0	0
L1FLnI_6q14.3k	0	0	0	0	0	0
L1FLnI_6q14.3ka	0	0	0	0	1	0
L1FLnI_6q14.3l	0	0	0	0	0	0
L1FLnI_6q14.3la	0	0	0	0	0	0
L1FLnI_6q14.3m	0	0	0	0	0	0
L1FLnI_6q14.3ma	0	0	0	0	0	0
L1FLnI_6q14.3n	0	0	0	0	0	0
L1FLnI_6q14.3na	0	0	0	0	0	0
L1FLnI_6q14.3o	0	0	0	0	0	0
L1FLnI_6q14.3oa	0	0	0	1	0	0
L1FLnI_6q14.3p	0	0	0	0	0	0
L1FLnI_6q14.3pa	0	0	0	0	0	0
L1FLnI_6q14.3q	0	0	0	0	0	0
L1FLnI_6q14.3qa	0	1	0	1	0	3
L1FLnI_6q14.3r	0	0	0	0	0	0
L1FLnI_6q14.3ra	0	0	0	0	0	0
L1FLnI_6q14.3s	0	0	0	0	0	0
L1FLnI_6q14.3sa	0	0	0	0	0	0
L1FLnI_6q14.3t	0	0	0	0	0	0
L1FLnI_6q14.3ta	0	0	0	0	0	0
L1FLnI_6q14.3ua	0	0	0	0	0	0
L1FLnI_6q14.3v	0	0	1	1	0	2
L1FLnI_6q14.3va	0	0	0	0	0	0
L1FLnI_6q14.3w	0	0	0	1	0	0
L1FLnI_6q14.3wa	0	0	0	0	0	0
L1FLnI_6q14.3x	0	0	0	0	0	0
L1FLnI_6q14.3xa	0	1	1	0	0	0
L1FLnI_6q14.3y	0	0	0	2	0	0
L1FLnI_6q14.3z	0	0	0	0	0	0
L1FLnI_6q15a	0	2	2	1	0	1
L1FLnI_6q15b	0	0	0	0	0	0
L1FLnI_6q15c	0	0	0	0	0	0
L1FLnI_6q15d	0	0	0	0	0	0
L1FLnI_6q15e	0	0	0	0	0	0
L1FLnI_6q15f	0	0	0	0	0	0
L1FLnI_6q15g	0	0	0	0	0	0
L1FLnI_6q15h	1	0	0	0	1	0
L1FLnI_6q15i	7	4	42	19	13	17
L1FLnI_6q15j	0	0	0	0	0	0
L1FLnI_6q15k	0	0	0	0	0	0
L1FLnI_6q15l	1	0	0	0	0	0
L1FLnI_6q15n	0	0	0	0	0	0
L1FLnI_6q15o	0	0	0	0	0	0
L1FLnI_6q15p	0	0	0	0	0	0
L1FLnI_6q15q	0	0	0	0	0	1
L1FLnI_6q15r	0	0	3	0	0	0
L1FLnI_6q16.1a	0	0	0	0	0	0
L1FLnI_6q16.1aa	0	1	2	3	1	2
L1FLnI_6q16.1b	0	0	0	0	0	0
L1FLnI_6q16.1ba	0	2	1	2	6	3
L1FLnI_6q16.1ca	7	5	29	29	25	19
L1FLnI_6q16.1da	0	0	0	0	0	0
L1FLnI_6q16.1e	0	0	0	0	0	0
L1FLnI_6q16.1f	0	0	0	0	0	0
L1FLnI_6q16.1fa	0	0	0	0	0	0
L1FLnI_6q16.1g	0	0	0	0	0	0
L1FLnI_6q16.1h	0	0	0	0	0	0
L1FLnI_6q16.1ha	0	0	0	1	0	0
L1FLnI_6q16.1j	0	0	0	0	0	0
L1FLnI_6q16.1k	0	0	0	0	0	0
L1FLnI_6q16.1ka	0	0	0	0	0	0
L1FLnI_6q16.1l	0	0	0	0	0	0
L1FLnI_6q16.1la	0	0	0	0	0	0
L1FLnI_6q16.1m	1	0	0	0	0	0
L1FLnI_6q16.1ma	0	0	0	0	0	0
L1FLnI_6q16.1oa	0	0	0	0	0	0
L1FLnI_6q16.1p	0	0	0	0	0	0
L1FLnI_6q16.1q	0	0	0	0	0	0
L1FLnI_6q16.1r	0	0	0	0	0	0
L1FLnI_6q16.1s	0	0	0	0	0	0
L1FLnI_6q16.1t	0	0	0	0	0	0
L1FLnI_6q16.1u	0	0	0	0	0	0
L1FLnI_6q16.1v	0	0	0	0	0	0
L1FLnI_6q16.1w	0	0	0	0	0	0
L1FLnI_6q16.1z	0	0	0	0	0	0
L1FLnI_6q16.2a	0	2	1	0	0	0
L1FLnI_6q16.2b	0	0	0	0	0	0
L1FLnI_6q16.2c	0	0	0	0	0	0
L1FLnI_6q16.2d	11	5	37	18	19	25
L1FLnI_6q16.2e	0	0	0	0	0	0
L1FLnI_6q16.2f	0	0	0	0	0	0
L1FLnI_6q16.2g	0	0	0	0	0	0
L1FLnI_6q16.2h	0	0	0	0	0	0
L1FLnI_6q16.2i	0	0	0	5	0	0
L1FLnI_6q16.2j	0	0	0	0	0	0
L1FLnI_6q16.3a	0	0	0	0	0	0
L1FLnI_6q16.3b	0	0	0	0	0	0
L1FLnI_6q16.3ba	0	0	0	0	0	0
L1FLnI_6q16.3c	3	2	6	3	5	9
L1FLnI_6q16.3ca	0	0	0	0	0	0
L1FLnI_6q16.3da	0	0	0	0	0	0
L1FLnI_6q16.3f	0	0	0	0	0	2
L1FLnI_6q16.3fa	0	0	0	1	1	0
L1FLnI_6q16.3g	0	0	0	0	0	0
L1FLnI_6q16.3ga	0	0	0	0	0	0
L1FLnI_6q16.3h	0	0	0	0	0	0
L1FLnI_6q16.3i	0	0	0	0	0	0
L1FLnI_6q16.3ia	0	0	0	0	0	0
L1FLnI_6q16.3j	0	0	0	0	0	0
L1FLnI_6q16.3ja	0	0	0	0	0	0
L1FLnI_6q16.3k	0	0	0	0	0	0
L1FLnI_6q16.3ka	0	0	0	0	0	0
L1FLnI_6q16.3l	2	0	0	0	0	0
L1FLnI_6q16.3la	0	0	0	0	0	1
L1FLnI_6q16.3ma	0	0	0	0	0	2
L1FLnI_6q16.3na	0	2	0	1	0	0
L1FLnI_6q16.3o	0	0	0	0	0	0
L1FLnI_6q16.3r	0	0	0	0	0	0
L1FLnI_6q16.3s	0	0	0	0	0	0
L1FLnI_6q16.3u	0	0	0	0	0	0
L1FLnI_6q16.3v	0	0	0	0	0	0
L1FLnI_6q16.3w	0	0	0	0	0	0
L1FLnI_6q16.3x	0	0	1	0	0	0
L1FLnI_6q16.3y	0	0	0	0	0	0
L1FLnI_6q16.3z	0	0	0	0	0	0
L1FLnI_6q21a	0	0	0	0	0	0
L1FLnI_6q21aa	0	0	3	4	5	0
L1FLnI_6q21b	0	0	0	0	0	0
L1FLnI_6q21ba	0	2	0	0	0	0
L1FLnI_6q21c	0	0	0	0	0	1
L1FLnI_6q21d	0	0	7	1	0	2
L1FLnI_6q21da	0	0	0	0	0	0
L1FLnI_6q21e	0	0	0	0	0	1
L1FLnI_6q21f	4	4	10	11	2	4
L1FLnI_6q21fa	0	0	0	0	0	0
L1FLnI_6q21g	0	0	1	1	0	3
L1FLnI_6q21h	0	0	1	0	0	0
L1FLnI_6q21i	0	0	0	1	0	0
L1FLnI_6q21j	1	0	0	0	0	0
L1FLnI_6q21k	0	0	0	1	0	0
L1FLnI_6q21l	0	0	0	0	0	0
L1FLnI_6q21m	2	2	7	1	0	0
L1FLnI_6q21o	0	0	0	0	0	0
L1FLnI_6q21p	0	0	0	0	0	0
L1FLnI_6q21q	0	0	0	0	0	0
L1FLnI_6q21s	0	0	0	0	0	0
L1FLnI_6q21t	0	0	0	0	0	0
L1FLnI_6q21u	0	0	2	0	0	0
L1FLnI_6q21v	0	0	0	0	0	0
L1FLnI_6q21w	0	0	1	0	0	0
L1FLnI_6q21x	0	3	0	0	0	0
L1FLnI_6q21z	0	0	0	0	0	0
L1FLnI_6q22.1a	0	1	0	0	0	0
L1FLnI_6q22.1aa	0	0	0	0	0	1
L1FLnI_6q22.1b	0	0	0	0	0	0
L1FLnI_6q22.1c	0	0	0	0	0	0
L1FLnI_6q22.1ca	7	9	12	4	12	8
L1FLnI_6q22.1d	0	0	0	0	0	0
L1FLnI_6q22.1e	0	0	0	0	0	0
L1FLnI_6q22.1ea	0	0	0	0	0	0
L1FLnI_6q22.1f	0	0	0	0	0	2
L1FLnI_6q22.1fa	0	0	0	0	0	0
L1FLnI_6q22.1ga	0	0	0	0	0	0
L1FLnI_6q22.1h	0	0	0	0	0	0
L1FLnI_6q22.1ha	1	1	6	0	0	0
L1FLnI_6q22.1i	0	0	0	0	0	0
L1FLnI_6q22.1ia	15	35	71	23	15	13
L1FLnI_6q22.1ja	8	0	11	7	8	2
L1FLnI_6q22.1ka	3	3	13	4	6	6
L1FLnI_6q22.1l	0	0	0	0	0	0
L1FLnI_6q22.1la	1	0	2	2	0	0
L1FLnI_6q22.1m	0	0	0	2	0	0
L1FLnI_6q22.1ma	0	0	0	0	0	0
L1FLnI_6q22.1n	0	0	0	0	0	0
L1FLnI_6q22.1na	0	0	0	0	0	0
L1FLnI_6q22.1o	0	0	0	0	0	0
L1FLnI_6q22.1oa	0	0	0	0	0	0
L1FLnI_6q22.1p	0	0	0	0	0	0
L1FLnI_6q22.1pa	0	1	0	0	0	0
L1FLnI_6q22.1q	0	0	1	0	0	0
L1FLnI_6q22.1t	0	0	0	0	0	0
L1FLnI_6q22.1u	198	224	851	487	304	458
L1FLnI_6q22.1v	0	0	3	0	0	2
L1FLnI_6q22.1x	0	0	0	1	0	1
L1FLnI_6q22.1y	10	20	55	28	23	28
L1FLnI_6q22.1z	0	1	0	0	1	1
L1FLnI_6q22.31a	0	0	0	0	0	0
L1FLnI_6q22.31aa	0	0	0	0	0	0
L1FLnI_6q22.31b	0	0	0	0	0	0
L1FLnI_6q22.31ba	0	0	0	0	0	0
L1FLnI_6q22.31c	0	0	0	0	0	0
L1FLnI_6q22.31d	2	0	1	0	0	2
L1FLnI_6q22.31e	0	0	0	0	0	0
L1FLnI_6q22.31ea	0	0	0	0	0	0
L1FLnI_6q22.31g	0	0	0	0	0	0
L1FLnI_6q22.31ga	0	0	0	0	0	0
L1FLnI_6q22.31h	1	0	0	0	0	1
L1FLnI_6q22.31ha	0	0	0	0	0	0
L1FLnI_6q22.31i	2	0	0	0	0	2
L1FLnI_6q22.31ia	0	0	0	0	0	0
L1FLnI_6q22.31j	0	1	0	0	0	0
L1FLnI_6q22.31ja	0	0	0	0	0	0
L1FLnI_6q22.31k	0	0	0	0	0	0
L1FLnI_6q22.31ka	0	0	0	0	0	0
L1FLnI_6q22.31l	0	0	0	0	0	0
L1FLnI_6q22.31m	0	0	0	0	0	0
L1FLnI_6q22.31ma	0	0	0	0	0	2
L1FLnI_6q22.31n	0	0	0	0	0	0
L1FLnI_6q22.31o	0	0	0	0	0	0
L1FLnI_6q22.31oa	0	0	0	0	0	0
L1FLnI_6q22.31pa	0	0	0	0	0	0
L1FLnI_6q22.31q	0	0	3	0	1	0
L1FLnI_6q22.31qa	0	0	0	0	0	0
L1FLnI_6q22.31r	0	0	1	0	0	0
L1FLnI_6q22.31s	0	1	0	0	0	0
L1FLnI_6q22.31sa	0	0	0	0	0	0
L1FLnI_6q22.31t	0	0	0	0	0	0
L1FLnI_6q22.31ta	5	7	23	7	5	17
L1FLnI_6q22.31u	0	0	0	0	0	0
L1FLnI_6q22.31ua	0	0	0	0	0	0
L1FLnI_6q22.31v	0	0	0	0	0	0
L1FLnI_6q22.31w	0	0	0	0	0	0
L1FLnI_6q22.31x	0	0	0	0	0	0
L1FLnI_6q22.31z	0	0	0	0	0	0
L1FLnI_6q22.32a	4	0	1	1	0	1
L1FLnI_6q22.32c	0	0	0	1	0	0
L1FLnI_6q22.32d	2	0	0	0	0	0
L1FLnI_6q22.32f	0	0	0	0	0	0
L1FLnI_6q22.32g	0	0	0	3	1	0
L1FLnI_6q22.32h	0	0	0	0	0	0
L1FLnI_6q22.32i	1	0	1	2	4	4
L1FLnI_6q22.33a	0	0	0	0	0	0
L1FLnI_6q22.33b	0	0	0	0	0	0
L1FLnI_6q22.33c	0	0	1	1	2	0
L1FLnI_6q22.33d	1	3	8	46	32	34
L1FLnI_6q22.33g	0	0	0	0	0	0
L1FLnI_6q22.33h	0	0	0	0	0	0
L1FLnI_6q22.33i	0	1	3	6	7	2
L1FLnI_6q22.33k	0	0	0	0	0	0
L1FLnI_6q22.33l	0	0	0	0	0	0
L1FLnI_6q22.33n	0	0	0	0	0	0
L1FLnI_6q22.33o	0	0	0	0	0	0
L1FLnI_6q22.33p	0	0	0	0	0	0
L1FLnI_6q22.33q	1	1	2	8	4	3
L1FLnI_6q22.33r	0	0	0	0	0	0
L1FLnI_6q22.33s	0	0	0	0	0	0
L1FLnI_6q23.1a	0	0	0	0	0	0
L1FLnI_6q23.1b	0	0	0	0	0	0
L1FLnI_6q23.1c	0	0	0	0	0	0
L1FLnI_6q23.1d	3	0	0	3	0	1
L1FLnI_6q23.2a	0	0	0	0	0	0
L1FLnI_6q23.2b	0	0	0	0	0	0
L1FLnI_6q23.2d	0	0	0	0	0	0
L1FLnI_6q23.2f	0	0	0	0	0	0
L1FLnI_6q23.2h	3	0	10	2	0	3
L1FLnI_6q23.2i	0	0	0	0	0	0
L1FLnI_6q23.2j	0	0	0	1	0	0
L1FLnI_6q23.2k	0	0	0	0	0	0
L1FLnI_6q23.2l	0	0	0	0	0	0
L1FLnI_6q23.2m	0	0	0	0	0	0
L1FLnI_6q23.2n	0	0	0	0	0	0
L1FLnI_6q23.2o	1	1	0	1	0	2
L1FLnI_6q23.2p	0	0	0	0	0	0
L1FLnI_6q23.2q	0	0	0	0	0	0
L1FLnI_6q23.2r	0	0	0	0	0	0
L1FLnI_6q23.2s	0	0	0	0	0	0
L1FLnI_6q23.3a	0	0	0	0	0	0
L1FLnI_6q23.3b	0	0	0	0	0	0
L1FLnI_6q23.3c	0	0	0	0	0	0
L1FLnI_6q23.3d	0	0	1	0	0	0
L1FLnI_6q23.3f	0	0	0	0	0	0
L1FLnI_6q23.3h	0	2	0	0	0	0
L1FLnI_6q23.3i	0	0	0	0	0	0
L1FLnI_6q23.3k	0	0	0	0	0	0
L1FLnI_6q23.3l	0	0	1	0	0	1
L1FLnI_6q23.3n	0	0	0	0	0	0
L1FLnI_6q23.3o	0	0	0	0	1	0
L1FLnI_6q24.1a	0	0	1	1	0	0
L1FLnI_6q24.1b	0	0	0	0	0	0
L1FLnI_6q24.1c	0	0	0	0	0	0
L1FLnI_6q24.1d	0	0	0	0	0	0
L1FLnI_6q24.1e	0	0	0	0	0	0
L1FLnI_6q24.1f	0	0	0	0	0	0
L1FLnI_6q24.1g	0	0	0	0	0	0
L1FLnI_6q24.1j	0	0	0	0	0	0
L1FLnI_6q24.1k	0	0	0	1	0	0
L1FLnI_6q24.1o	0	0	1	1	0	1
L1FLnI_6q24.1p	0	0	0	0	0	0
L1FLnI_6q24.1q	0	0	0	0	0	0
L1FLnI_6q24.1r	0	2	5	2	1	0
L1FLnI_6q24.2a	0	0	0	0	0	0
L1FLnI_6q24.2b	0	0	0	0	0	1
L1FLnI_6q24.2c	0	1	0	0	0	0
L1FLnI_6q24.2e	2	1	2	2	1	1
L1FLnI_6q24.2f	0	0	0	0	0	3
L1FLnI_6q24.2g	51	53	162	98	55	83
L1FLnI_6q24.2h	0	0	0	0	0	0
L1FLnI_6q24.2j	2	2	8	4	0	3
L1FLnI_6q24.2l	0	0	0	0	0	0
L1FLnI_6q24.2m	0	0	0	0	0	0
L1FLnI_6q24.3a	0	0	0	0	0	0
L1FLnI_6q24.3b	0	0	0	0	0	0
L1FLnI_6q24.3c	0	0	1	0	0	2
L1FLnI_6q24.3d	0	0	0	0	0	0
L1FLnI_6q24.3e	0	0	0	0	0	0
L1FLnI_6q24.3f	0	0	0	0	0	0
L1FLnI_6q24.3h	0	0	0	0	0	0
L1FLnI_6q25.1a	0	0	0	0	0	0
L1FLnI_6q25.1b	0	0	0	0	0	0
L1FLnI_6q25.1d	0	0	0	0	0	0
L1FLnI_6q25.1e	0	0	0	0	0	0
L1FLnI_6q25.1f	0	0	0	0	0	1
L1FLnI_6q25.1h	0	0	1	0	0	0
L1FLnI_6q25.2a	0	0	0	0	0	0
L1FLnI_6q25.2b	0	0	0	0	0	0
L1FLnI_6q25.2c	0	0	0	0	0	0
L1FLnI_6q25.2f	0	0	0	0	0	0
L1FLnI_6q25.3b	0	0	0	0	0	0
L1FLnI_6q25.3c	0	0	0	0	0	0
L1FLnI_6q25.3d	0	0	0	2	1	3
L1FLnI_6q25.3e	21	23	181	77	40	87
L1FLnI_6q25.3g	0	5	0	0	0	0
L1FLnI_6q25.3i	2	1	8	4	5	3
L1FLnI_6q25.3j	0	3	8	6	6	7
L1FLnI_6q25.3l	2	4	10	10	0	9
L1FLnI_6q25.3m	0	0	0	4	0	0
L1FLnI_6q25.3n	0	0	2	0	1	5
L1FLnI_6q25.3p	0	0	0	0	0	0
L1FLnI_6q26a	0	0	0	0	0	0
L1FLnI_6q26d	0	0	4	1	0	4
L1FLnI_6q26e	0	0	0	0	0	0
L1FLnI_6q26g	0	0	0	0	0	0
L1FLnI_6q27a	0	0	0	0	0	0
L1FLnI_6q27b	0	0	0	0	0	0
L1FLnI_6q27c	7	7	14	10	4	5
L1FLnI_6q27d	2	1	9	0	0	0
L1FLnI_6q27f	0	0	1	2	1	0
L1FLnI_6q27h	0	0	0	0	0	0
L1FLnI_6q27j	1	2	8	0	0	1
L1FLnI_6q27k	0	0	0	0	0	0
L1FLnI_6q27p	0	0	0	0	0	0
L1FLnI_6q27q	0	0	0	0	0	0
L1FLnI_6q27r	4	1	2	9	0	4
L1FLnI_6q27s	0	0	1	0	0	1
L1FLnI_6q27u	0	2	7	1	2	1
L1FLnI_6q27v	0	0	0	0	0	0
L1FLnI_6q27w	0	0	0	0	0	0
L1FLnI_7p11.2a	0	0	0	0	0	0
L1FLnI_7p11.2b	0	0	0	0	0	0
L1FLnI_7p11.2c	0	1	0	0	0	0
L1FLnI_7p11.2d	0	0	0	0	0	0
L1FLnI_7p11.2e	0	0	0	0	0	0
L1FLnI_7p11.2f	0	0	0	0	0	0
L1FLnI_7p11.2g	0	0	2	1	2	1
L1FLnI_7p11.2h	0	0	0	0	0	0
L1FLnI_7p11.2i	1	0	0	0	0	0
L1FLnI_7p11.2j	0	0	0	0	0	1
L1FLnI_7p11.2k	0	0	0	0	0	0
L1FLnI_7p11.2l	0	0	0	0	0	0
L1FLnI_7p11.2m	0	0	0	0	0	0
L1FLnI_7p11.2n	0	0	0	0	0	0
L1FLnI_7p11.2o	0	0	0	0	0	0
L1FLnI_7p11.2p	0	0	0	0	0	0
L1FLnI_7p12.1a	0	0	0	0	0	0
L1FLnI_7p12.1b	0	0	0	0	0	0
L1FLnI_7p12.1c	0	0	2	1	0	0
L1FLnI_7p12.1d	0	0	0	5	0	3
L1FLnI_7p12.1e	0	0	0	0	0	0
L1FLnI_7p12.1f	0	0	0	0	0	0
L1FLnI_7p12.1g	1	1	9	8	6	9
L1FLnI_7p12.1j	0	0	0	0	0	0
L1FLnI_7p12.1k	0	0	0	0	0	0
L1FLnI_7p12.1l	0	0	0	0	0	0
L1FLnI_7p12.1m	0	0	0	0	0	0
L1FLnI_7p12.1n	0	0	0	0	0	0
L1FLnI_7p12.1q	0	0	0	0	0	0
L1FLnI_7p12.1r	0	0	0	0	0	0
L1FLnI_7p12.1s	0	0	0	0	0	0
L1FLnI_7p12.2c	0	0	0	0	0	0
L1FLnI_7p12.2e	0	0	0	0	0	0
L1FLnI_7p12.3a	0	0	0	0	0	0
L1FLnI_7p12.3b	0	0	0	0	0	0
L1FLnI_7p12.3c	0	0	0	0	0	0
L1FLnI_7p12.3d	0	0	0	0	0	1
L1FLnI_7p12.3f	0	0	0	0	0	0
L1FLnI_7p12.3g	1	0	3	17	8	9
L1FLnI_7p12.3h	0	2	0	0	5	1
L1FLnI_7p12.3i	0	0	0	0	0	0
L1FLnI_7p12.3j	0	0	0	0	0	0
L1FLnI_7p12.3k	0	1	8	4	3	4
L1FLnI_7p12.3m	0	0	4	1	0	0
L1FLnI_7p12.3n	0	0	0	0	0	0
L1FLnI_7p13a	0	0	2	0	0	0
L1FLnI_7p13b	0	0	0	0	0	0
L1FLnI_7p13c	0	0	0	0	0	0
L1FLnI_7p13d	0	0	0	0	0	0
L1FLnI_7p13e	0	0	0	0	0	0
L1FLnI_7p13f	0	0	0	0	0	0
L1FLnI_7p14.1a	0	0	0	0	0	0
L1FLnI_7p14.1c	0	0	1	0	0	0
L1FLnI_7p14.1d	0	0	0	0	0	0
L1FLnI_7p14.1i	0	0	0	0	2	0
L1FLnI_7p14.1j	0	0	0	0	0	0
L1FLnI_7p14.1k	0	0	0	0	0	2
L1FLnI_7p14.1l	0	0	0	0	0	0
L1FLnI_7p14.1m	0	0	0	0	0	0
L1FLnI_7p14.1n	0	0	0	0	0	0
L1FLnI_7p14.1o	0	0	0	0	0	0
L1FLnI_7p14.1p	0	2	2	0	0	0
L1FLnI_7p14.1q	0	0	0	0	0	0
L1FLnI_7p14.1r	0	0	1	0	0	0
L1FLnI_7p14.1t	0	0	0	0	0	0
L1FLnI_7p14.1v	409	758	1525	581	331	490
L1FLnI_7p14.1w	1	1	14	2	1	4
L1FLnI_7p14.1x	0	0	0	0	0	0
L1FLnI_7p14.2a	0	0	3	0	0	0
L1FLnI_7p14.2c	0	0	1	0	0	0
L1FLnI_7p14.2d	0	0	0	0	0	0
L1FLnI_7p14.2e	21	20	74	43	18	38
L1FLnI_7p14.2f	0	0	0	0	3	0
L1FLnI_7p14.2g	0	5	0	1	0	2
L1FLnI_7p14.2h	0	0	0	0	0	1
L1FLnI_7p14.3a	1	4	3	1	0	1
L1FLnI_7p14.3aa	0	0	0	0	0	0
L1FLnI_7p14.3b	2	0	0	5	6	1
L1FLnI_7p14.3ba	0	1	2	1	0	7
L1FLnI_7p14.3c	1	8	24	13	10	5
L1FLnI_7p14.3ca	0	0	0	0	0	2
L1FLnI_7p14.3d	4	1	14	6	3	8
L1FLnI_7p14.3da	0	0	0	2	0	0
L1FLnI_7p14.3e	0	1	1	1	0	0
L1FLnI_7p14.3ea	0	0	0	0	0	0
L1FLnI_7p14.3f	0	0	0	0	0	0
L1FLnI_7p14.3g	0	0	0	0	0	0
L1FLnI_7p14.3h	0	1	0	1	0	0
L1FLnI_7p14.3j	1	1	1	1	1	4
L1FLnI_7p14.3k	0	0	0	0	0	0
L1FLnI_7p14.3l	0	2	2	1	1	2
L1FLnI_7p14.3m	0	0	0	0	0	1
L1FLnI_7p14.3n	0	0	0	0	0	0
L1FLnI_7p14.3o	0	0	0	0	0	0
L1FLnI_7p14.3p	4	3	5	0	2	1
L1FLnI_7p14.3q	1	2	1	0	0	1
L1FLnI_7p14.3r	0	0	1	1	5	1
