Calu3_mock3	Calu3_mock2	Calu3_mock1	Calu3_SARSCoV2_3	Calu3_SARSCoV2_2	Calu3_SARSCoV2_1
ERVLB4_Xp21.1e	0	0	10	3	0	5
ERVLB4_Xq11.2	0	0	0	0	0	0
ERVLB4_Xq21.1j	0	0	2	0	0	0
ERVLB4_Xq26.3a	5	6	18	9	3	5
ERVLB4_Xq26.3y	0	0	0	1	0	2
ERVLE_1_KI270711v1_random	0	0	0	0	0	0
ERVLE_10p12.2a	0	0	0	0	0	0
ERVLE_10p15.1c	4	6	11	5	6	5
ERVLE_10q25.3b	0	0	0	0	0	0
ERVLE_10q25.3c	0	0	0	0	2	0
ERVLE_11p11.2c	2	0	0	0	0	1
ERVLE_11p15.3	0	0	1	0	0	0
ERVLE_11q14.2a	2	3	6	4	0	4
ERVLE_11q14.2c	0	0	0	1	0	0
ERVLE_12p11.23	4	8	23	10	7	9
ERVLE_12p12.1a	1	0	9	3	0	0
ERVLE_12p13.2c	0	0	0	0	0	0
ERVLE_12p13.32	0	0	0	0	0	0
ERVLE_12q13.11b	0	0	0	0	0	0
ERVLE_13q12.13b	0	0	1	3	1	0
ERVLE_13q13.3a	0	0	0	0	0	0
ERVLE_13q14.13	3	1	4	7	3	6
ERVLE_13q32.2	0	0	0	0	0	0
ERVLE_14q12b	1	0	3	1	0	7
ERVLE_14q12f	0	0	0	0	0	0
ERVLE_14q21.3e	0	0	6	0	0	0
ERVLE_14q22.1	1	1	4	1	0	0
ERVLE_15q11.1	0	0	0	0	0	0
ERVLE_15q21.2	0	4	1	2	0	1
ERVLE_15q25.1a	0	0	0	0	0	0
ERVLE_15q25.1f	0	2	1	0	1	2
ERVLE_15q25.3b	28	17	51	24	24	25
ERVLE_15q26.3c	0	0	4	2	0	0
ERVLE_16p12.1b	0	0	2	1	0	2
ERVLE_16p13.3b	2	1	6	20	17	18
ERVLE_17p11.2c	1	5	8	8	2	3
ERVLE_17q21.31	0	2	0	3	0	4
ERVLE_18q12.2a	0	0	3	3	0	1
ERVLE_19p13.2a	1	1	6	1	2	5
ERVLE_19q12a	0	0	0	0	0	0
ERVLE_19q13.12c	0	1	16	10	3	6
ERVLE_19q13.31c	0	0	4	1	0	5
ERVLE_19q13.31d	1	1	10	7	7	7
ERVLE_19q13.42	2	2	22	30	12	23
ERVLE_1p13.2a	3	0	4	1	4	3
ERVLE_1p21.3c	12	8	17	10	5	2
ERVLE_1p31.1j	0	0	5	9	0	5
ERVLE_1p34.2a	0	0	0	1	0	0
ERVLE_1p35.1c	2	9	7	13	4	5
ERVLE_1p35.3c	0	0	0	0	0	0
ERVLE_1p36.11b	0	0	0	2	0	0
ERVLE_1p36.12	0	0	0	3	0	0
ERVLE_1p36.13b	1	1	5	8	0	5
ERVLE_1q21.1a	0	0	0	0	0	0
ERVLE_1q23.2b	2	9	16	19	11	22
ERVLE_1q32.1b	0	0	2	0	0	2
ERVLE_1q42.12a	1	3	6	0	3	6
ERVLE_20q13.12b	0	0	1	1	0	2
ERVLE_22q11.23a	0	0	0	0	0	0
ERVLE_22q13.2f	0	2	1	2	1	0
ERVLE_22q13.33	9	23	55	39	24	44
ERVLE_2p13.2a	0	2	3	2	0	3
ERVLE_2p23.3b	0	0	5	0	0	0
ERVLE_2q11.2a	0	2	1	2	0	0
ERVLE_2q11.2b	5	2	20	7	7	11
ERVLE_2q24.2a	1	1	0	0	0	0
ERVLE_2q34e	0	0	0	0	0	0
ERVLE_2q35a	0	0	4	0	0	3
ERVLE_2q36.3b	0	0	0	0	0	0
ERVLE_3p24.1e	0	0	0	0	0	0
ERVLE_3q25.32	0	0	0	0	0	0
ERVLE_3q26.2	0	0	0	0	1	0
ERVLE_3q28e	0	0	0	0	0	0
ERVLE_3q29b	0	10	13	4	3	3
ERVLE_4p12e	0	0	0	0	0	0
ERVLE_4p16.1c	0	0	2	3	0	2
ERVLE_4q13.3g	2	2	1	1	0	0
ERVLE_4q21.3	0	0	4	2	1	0
ERVLE_4q24h	0	0	0	0	0	0
ERVLE_4q24i	3	8	15	7	1	9
ERVLE_4q28.3j	0	0	0	0	0	0
ERVLE_5p12b	2	1	1	0	0	2
ERVLE_5p15.31a	0	2	1	3	0	0
ERVLE_5q13.2a	1	0	0	0	2	0
ERVLE_5q22.2d	0	0	0	0	0	0
ERVLE_5q22.3e	3	1	1	1	0	4
ERVLE_5q35.3c	0	4	7	5	1	2
ERVLE_6p22.1a	0	0	1	1	1	0
ERVLE_6q22.32	0	1	5	2	4	3
ERVLE_7p15.3a	0	0	2	1	1	2
ERVLE_7p22.1a	0	4	4	3	0	5
ERVLE_7p22.3	0	0	0	0	0	0
ERVLE_7q36.1a	0	0	2	0	0	0
ERVLE_7q36.1c	0	0	0	0	0	0
ERVLE_8p11.23b	0	0	0	0	0	0
ERVLE_8p23.1b	0	0	1	1	0	0
ERVLE_8q11.23b	2	0	1	1	4	1
ERVLE_8q22.3b	0	1	1	0	0	1
ERVLE_8q22.3c	0	1	3	0	1	0
ERVLE_8q24.11	0	0	0	1	0	0
ERVLE_8q24.3h	2	7	26	6	8	19
ERVLE_9p13.3a	0	0	0	0	0	0
ERVLE_9p21.3a	0	0	2	1	0	0
ERVLE_9q21.13c	0	0	0	0	0	0
ERVLE_9q21.31b	0	0	0	0	0	0
ERVLE_9q22.1	2	0	3	2	2	2
ERVLE_9q22.31	1	2	4	3	1	6
ERVLE_Xp11.3a	0	0	0	0	0	0
HARLEQUIN_10p11.23a	0	1	0	0	0	0
HARLEQUIN_10p11.23b	0	0	0	0	2	0
HARLEQUIN_10q21.2a	0	0	0	0	0	0
HARLEQUIN_10q21.2b	0	0	0	0	0	0
HARLEQUIN_10q21.3	0	0	0	0	0	0
HARLEQUIN_10q22.1	0	0	1	0	0	2
HARLEQUIN_10q23.1	0	0	0	0	0	0
HARLEQUIN_10q23.33	0	0	0	0	0	0
HARLEQUIN_10q24.2	2	1	0	11	4	14
HARLEQUIN_11q12.2a	0	0	0	0	0	1
HARLEQUIN_11q12.2b	0	0	0	0	0	1
HARLEQUIN_11q13.4	11	19	26	4	0	6
HARLEQUIN_11q14.1	0	0	0	0	0	0
HARLEQUIN_11q21	0	0	0	0	0	0
HARLEQUIN_11q22.1a	0	0	0	0	0	0
HARLEQUIN_11q22.1b	0	0	0	0	0	0
HARLEQUIN_11q22.3	0	0	0	0	0	0
HARLEQUIN_12p12.2	0	0	0	2	0	2
HARLEQUIN_12p13.32	0	0	0	0	0	0
HARLEQUIN_12q13.12	0	0	0	2	0	3
HARLEQUIN_12q15	0	0	0	0	0	0
HARLEQUIN_12q21.1	0	0	0	0	0	0
HARLEQUIN_13q12.12	1	0	2	0	0	0
HARLEQUIN_13q22.3	0	0	0	0	0	0
