mock1_13	mock2_14	wt1_15	wt2_16	CoV_A549_mock3	CoV_A549_mock2	CoV_A549_mock1	CoV_A549_SARSCoV2_3	CoV_A549_SARSCoV2_2	CoV_A549_SARSCoV2_1
ERVLB4_17p13.3a	0	0	1	2	2	0	0	0	0	0
ERVLB4_17q22c	38	65	71	17	153	134	113	131	120	225
ERVLB4_17q25.3b	2	0	0	1	4	3	3	3	2	7
ERVLB4_19p13.11	0	0	0	0	0	3	0	2	5	5
ERVLB4_19q13.12	5	5	13	0	16	8	14	9	13	35
ERVLB4_19q13.31a	2	0	1	0	1	2	0	1	2	7
ERVLB4_19q13.31c	0	0	0	0	1	1	1	0	0	2
ERVLB4_1p34.1	0	0	0	0	0	0	0	0	0	0
ERVLB4_1q21.1a	0	0	0	0	0	0	0	0	0	0
ERVLB4_1q21.1b	0	0	0	0	0	0	0	0	0	0
ERVLB4_1q25.1b	0	0	0	0	0	0	0	0	0	0
ERVLB4_20p11.23b	0	0	0	0	1	0	0	1	1	3
ERVLB4_21q21.1a	0	0	0	0	0	0	0	0	0	0
ERVLB4_21q21.3e	38	75	89	5	103	108	79	170	135	283
ERVLB4_22q11.1a	0	0	0	0	0	0	0	0	0	0
ERVLB4_22q11.22a	0	0	0	0	0	0	0	0	0	1
ERVLB4_22q13.31b	3	1	0	1	7	5	7	4	6	6
ERVLB4_2p11.2a	0	0	0	0	0	0	0	0	0	0
ERVLB4_2p11.2d	0	0	0	0	0	0	0	0	0	0
ERVLB4_2p11.2e	0	0	0	0	0	0	0	0	0	0
ERVLB4_2p25.1b	0	0	0	0	1	1	2	1	5	9
ERVLB4_2q11.1a	0	0	1	0	0	0	0	0	0	0
ERVLB4_2q13b	0	0	0	0	0	0	0	0	1	0
ERVLB4_2q13c	53	97	89	9	204	195	181	166	14	295
ERVLB4_2q21.1c	0	1	0	0	1	1	3	2	2	3
ERVLB4_2q24.3c	0	0	0	0	0	0	0	0	0	0
ERVLB4_2q37.1a	4	3	6	1	22	14	7	20	10	15
ERVLB4_2q37.1b	0	0	0	1	2	0	1	0	2	9
ERVLB4_2q37.3b	2	4	1	2	21	28	18	52	56	81
ERVLB4_3p11.1c	0	0	0	1	0	1	0	1	0	2
ERVLB4_3p14.2	0	0	5	0	0	0	0	0	1	3
ERVLB4_3p21.31a	0	0	0	0	9	0	6	8	6	16
ERVLB4_3q12.3	0	0	0	2	0	0	0	0	0	0
ERVLB4_3q22.1a	2	9	4	5	4	10	7	12	7	7
ERVLB4_4q23b	1	0	2	1	2	5	5	3	13	21
ERVLB4_4q31.23	0	0	0	0	0	0	0	0	0	0
ERVLB4_6q16.1d	0	1	1	2	2	6	4	5	9	17
ERVLB4_6q23.2a	0	0	0	0	0	1	1	0	3	0
ERVLB4_7p21.1a	0	0	0	0	0	0	0	0	0	0
ERVLB4_7q22.1a	0	0	0	0	0	3	2	0	2	2
ERVLB4_7q36.3a	2	1	1	0	4	1	2	4	4	16
ERVLB4_7q36.3c	0	0	1	0	1	0	1	1	3	2
ERVLB4_8p11.21a	0	0	0	0	0	0	0	0	1	0
ERVLB4_8p11.22a	1	0	1	0	1	3	1	5	3	6
ERVLB4_8p11.23b	0	0	3	0	0	3	1	0	5	7
ERVLB4_8p12b	0	0	6	0	0	2	0	0	0	0
ERVLB4_8p21.1b	4	11	9	1	9	9	16	4	7	17
ERVLB4_8p21.1c	0	0	0	0	0	0	0	0	0	0
ERVLB4_8p21.3a	0	1	1	3	7	4	6	4	17	33
ERVLB4_8p21.3b	3	1	3	0	6	8	10	24	43	38
ERVLB4_8q24.3d	2	5	1	3	13	17	20	11	18	41
ERVLB4_9q22.33b	23	52	49	8	154	168	152	140	211	317
ERVLB4_9q31.3	0	0	0	2	0	0	0	0	0	0
ERVLB4_Xp21.1e	2	1	0	2	1	2	3	2	7	4
ERVLB4_Xq11.2	0	0	0	0	0	0	0	0	1	0
ERVLB4_Xq21.1j	0	0	0	0	0	0	0	0	0	0
