"Calu3_mock3" "Calu3_mock2" "Calu3_mock1" "Calu3_SARSCoV2_3" "Calu3_SARSCoV2_2" "Calu3_SARSCoV2_1" "SRR1942929" "SRR1942934" "SRR1942956" "SRR1942957" "SRR1942960" "SRR1942961" "SRR1942989" "SRR1942990"
"ERV316A3_11q22.1b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q22.1c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q22.1d" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q22.1e" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q22.1f" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q22.1g" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q22.1h" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q22.1i" 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"ERV316A3_11q22.1j" 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"ERV316A3_11q22.1k" 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"ERV316A3_11q22.1l" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q22.1m" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q22.2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q22.3a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q22.3b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q22.3c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q22.3d" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q22.3e" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q23.1a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q23.1b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q23.1c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q23.1d" 3 0 0 0 0 1 0 0 1 0 0 0 0 1
"ERV316A3_11q23.2" 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"ERV316A3_11q23.3a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q23.3b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q23.3c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q23.3d" 0 0 0 0 0 0 1 1 0 0 1 0 0 0
"ERV316A3_11q23.3e" 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"ERV316A3_11q23.3f" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q24.1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q24.2" 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"ERV316A3_11q24.3a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q24.3b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q25a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q25b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q25d" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q25e" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q25f" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12p11.22a" 0 0 4 0 0 0 5 8 4 0 1 2 3 0
"ERV316A3_12p11.22b" 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"ERV316A3_12p11.22c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12p11.22d" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12p11.23a" 0 0 0 0 0 0 0 2 3 1 2 1 1 1
"ERV316A3_12p11.23b" 0 1 2 0 0 0 4 0 2 0 2 0 0 0
"ERV316A3_12p11.23c" 0 0 0 0 0 0 0 0 0 0 0 1 0 1
"ERV316A3_12p12.1a" 0 0 1 0 0 0 0 0 0 0 0 0 3 3
"ERV316A3_12p12.1b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12p12.1c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12p12.2a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12p12.2b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12p12.3a" 0 0 0 0 0 0 0 0 1 1 0 0 1 0
"ERV316A3_12p12.3b" 0 0 0 0 0 2 0 0 0 0 2 1 4 0
"ERV316A3_12p12.3c" 2 1 2 3 1 0 7 7 4 2 6 7 3 7
"ERV316A3_12p12.3d" 0 0 5 0 0 0 4 4 1 1 2 3 0 0
"ERV316A3_12p12.3e" 0 1 1 3 0 1 4 6 3 1 2 1 4 6
"ERV316A3_12p12.3f" 0 0 0 0 0 0 0 2 0 1 0 0 1 1
"ERV316A3_12p13.1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12p13.33" 0 1 1 0 0 1 5 6 1 3 10 3 0 1
"ERV316A3_12q12a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12q12b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12q12c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12q12d" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12q12e" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12q13.11a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12q13.11b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12q13.13" 0 0 0 0 0 1 0 1 0 0 0 0 0 0
"ERV316A3_12q14.1a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12q14.1b" 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"ERV316A3_12q14.1c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12q14.1d" 0 0 0 0 0 0 1 0 0 0 0 0 1 0
"ERV316A3_12q14.1e" 2 0 1 0 0 1 1 4 1 3 1 5 1 0
"ERV316A3_12q14.2" 0 0 0 0 0 0 0 0 1 0 0 0 1 0
"ERV316A3_12q14.3a" 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"ERV316A3_12q14.3b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12q21.1" 0 1 0 0 0 0 2 4 1 0 3 5 1 1
"ERV316A3_12q21.2" 0 0 0 0 0 0 0 0 1 1 0 0 0 0
"ERV316A3_12q21.31a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12q21.31b" 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12q21.31c" 0 0 0 1 0 1 0 0 0 0 0 0 2 2
"ERV316A3_12q21.31d" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12q21.31e" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12q21.31f" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12q21.31g" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12q21.32a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12q21.32b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12q21.32c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12q21.33a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12q21.33b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12q21.33c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12q21.33d" 0 0 0 0 0 0 0 0 0 2 0 0 0 0
"ERV316A3_12q21.33e" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12q21.33f" 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"ERV316A3_12q21.33g" 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"ERV316A3_12q21.33h" 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"ERV316A3_12q21.33i" 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"ERV316A3_12q21.33j" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12q21.33k" 0 0 0 1 2 0 0 0 0 0 0 0 1 0
"ERV316A3_12q22" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12q23.1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12q23.2a" 0 0 0 0 0 0 0 1 0 0 2 0 0 0
